traj_id,scenario,split,lag_s,valid_pair_fraction,nmse_linear,nmse_db,median_sample_nmse_db,physical_error_sum,physical_energy_sum
cruise_000,cruise,train,0.002,1.0,0.0006663619424216449,-31.762901306152344,-39.94221115112305,0.00014595422290714088,0.22024766170943622
cruise_000,cruise,train,0.004,1.0,0.002050054492428899,-26.88234519958496,-36.324954986572266,0.000444962403490734,0.22019957857992267
cruise_000,cruise,train,0.01,1.0,0.0052786339074373245,-22.77478790283203,-32.569583892822266,0.001070982322496583,0.2200552632457402
cruise_000,cruise,train,0.02,1.0,0.012969961389899254,-18.870615005493164,-30.796607971191406,0.002545374903774267,0.21981451699321042
cruise_000,cruise,train,0.05,0.9999999403953552,0.026012597605586052,-15.848163604736328,-24.78445053100586,0.005181998251853059,0.2190906357318454
cruise_000,cruise,train,0.1,0.9999999403953552,0.029289964586496353,-15.332812309265137,-19.537376403808594,0.006001872108470252,0.21787872963614063
cruise_000,cruise,train,0.2,1.0,0.05171388015151024,-12.863929748535156,-13.979474067687988,0.010910614392514617,0.21543448852025904
cruise_000,cruise,train,0.5,1.0,0.2072470635175705,-6.835116863250732,-6.576652526855469,0.043140215725543385,0.20793295944167767
cruise_001,cruise,train,0.002,1.0,0.007132067810744047,-21.467845916748047,-23.22107696533203,0.028691633678854522,3.165428681226331
cruise_001,cruise,train,0.004,1.0,0.017009252682328224,-17.69314956665039,-19.01401710510254,0.058488550576974774,3.1653564665684826
cruise_001,cruise,train,0.01,1.0,0.031352486461400986,-15.037280082702637,-15.064162254333496,0.11100344641367954,3.1651411522107082
cruise_001,cruise,train,0.02,1.0,0.017006367444992065,-17.693883895874023,-20.653554916381836,0.07326819986073474,3.1647807581466623
cruise_001,cruise,train,0.05,0.9999999403953552,0.019209647551178932,-17.164806365966797,-20.0919189453125,0.09869542736360515,3.1636927470681258
cruise_001,cruise,train,0.1,0.9999999403953552,0.039888907223939896,-13.99147891998291,-15.611860275268555,0.20415122563329646,3.1618589032732416
cruise_001,cruise,train,0.2,1.0,0.09703094512224197,-10.130897521972656,-13.463507652282715,0.5591813702408501,3.1581192339144764
cruise_001,cruise,train,0.5,1.0,0.37370607256889343,-4.274698257446289,-7.714609146118164,2.2838035734332607,3.146245283111057
cruise_002,cruise,train,0.002,1.0,0.036033038049936295,-14.432991981506348,-18.357025146484375,0.04126860205636618,3.044408206245862
cruise_002,cruise,train,0.004,1.0,0.019517166540026665,-17.09583282470703,-20.2615966796875,0.06792243982831536,3.044140435726149
cruise_002,cruise,train,0.01,1.0,0.05856723710894585,-12.32345199584961,-13.172039985656738,0.18635278447098358,3.043336097121937
cruise_002,cruise,train,0.02,1.0,0.0470799095928669,-13.271644592285156,-15.662861824035645,0.09959449598068204,3.041989821649622
cruise_002,cruise,train,0.05,0.9999999403953552,0.053868986666202545,-12.68661117553711,-13.12894344329834,0.15349768063674674,3.0378981567628216
cruise_002,cruise,train,0.1,0.9999999403953552,0.09287836402654648,-10.320855140686035,-10.718961715698242,0.2636241791055909,3.030922707315767
cruise_002,cruise,train,0.2,1.0,0.1774095743894577,-7.51023006439209,-8.242685317993164,0.5707038922087122,3.016305088851368
cruise_002,cruise,train,0.5,1.0,0.5613915324211121,-2.507341146469116,-3.4917867183685303,2.2001408708083545,2.966105597821297
cruise_003,cruise,train,0.002,1.0,0.05353192985057831,-12.713871002197266,-13.75650405883789,0.01733727522722006,0.25755661042967404
cruise_003,cruise,train,0.004,1.0,0.06852973997592926,-11.64120864868164,-11.066083908081055,0.022525817125739422,0.257440017632689
cruise_003,cruise,train,0.01,1.0,0.08740309625864029,-10.584732055664062,-11.139747619628906,0.024484578972817417,0.2570908034340391
cruise_003,cruise,train,0.02,1.0,0.12636005878448486,-8.983901977539062,-8.800233840942383,0.02826684845535965,0.2565096606285806
cruise_003,cruise,train,0.05,0.9999999403953552,0.08479221910238266,-10.716440200805664,-14.445131301879883,0.025473535945263137,0.2547668843271822
cruise_003,cruise,train,0.1,0.9999999403953552,0.09561040997505188,-10.19494915008545,-11.801752090454102,0.027634113442196906,0.2518503405244701
cruise_003,cruise,train,0.2,1.0,0.1337641328573227,-8.736603736877441,-9.247491836547852,0.03660102006483612,0.2458884470488556
cruise_003,cruise,train,0.5,1.0,0.31202641129493713,-5.058086395263672,-5.3573503494262695,0.08310423571174397,0.22907449518424983
cruise_004,cruise,train,0.002,1.0,0.008749773725867271,-20.580032348632812,-21.598220825195312,0.021133797482711714,1.6301357976772124
cruise_004,cruise,train,0.004,1.0,0.021642494946718216,-16.646926879882812,-17.024017333984375,0.04121219698944856,1.6300955603910552
cruise_004,cruise,train,0.01,1.0,0.05991826206445694,-12.224408149719238,-11.849071502685547,0.10768163684704746,1.6299745287906262
cruise_004,cruise,train,0.02,1.0,0.029194558039307594,-15.346981048583984,-16.58432388305664,0.07190598721291508,1.6297711766928842
cruise_004,cruise,train,0.05,0.9999999403953552,0.05605300888419151,-12.51401138305664,-14.77225112915039,0.12506776010771503,1.6291591194567445
cruise_004,cruise,train,0.1,0.9999999403953552,0.06758826225996017,-11.701287269592285,-13.614779472351074,0.20576156822097857,1.6281292084095185
cruise_004,cruise,train,0.2,1.0,0.14269737899303436,-8.455840110778809,-11.087448120117188,0.5084185580601499,1.6260308140299458
cruise_004,cruise,train,0.5,1.0,0.41638100147247314,-3.80509090423584,-9.645315170288086,1.671338107534723,1.6193935180017434
cruise_005,cruise,train,0.002,1.0,0.04373858869075775,-13.591352462768555,-15.231465339660645,0.03602694054960898,1.1545449303594069
cruise_005,cruise,train,0.004,1.0,0.02297418750822544,-16.38759994506836,-18.46628189086914,0.03421037623561318,1.1544717157885316
cruise_005,cruise,train,0.01,1.0,0.045915428549051285,-13.380414009094238,-14.58472728729248,0.04742872445210011,1.1542614954523742
cruise_005,cruise,train,0.02,1.0,0.06406542658805847,-11.93376350402832,-14.195459365844727,0.06332207148798119,1.153931423999893
cruise_005,cruise,train,0.05,0.9999999403953552,0.07554842531681061,-11.217745780944824,-13.448169708251953,0.06487737512806291,1.152982937041088
cruise_005,cruise,train,0.1,0.9999999403953552,0.0851343423128128,-10.698952674865723,-12.572647094726562,0.07408567268169008,1.1509209189243848
cruise_005,cruise,train,0.2,1.0,0.103965625166893,-9.83110237121582,-10.386675834655762,0.11104381222980919,1.1452065329867764
cruise_005,cruise,train,0.5,1.0,0.31326520442962646,-5.0408782958984375,-5.345465660095215,0.3789524450439785,1.1301295290904818
cruise_006,cruise,train,0.002,1.0,0.008258351124823093,-20.83106803894043,-24.746896743774414,0.02485507396514164,2.795768951953505
cruise_006,cruise,train,0.004,1.0,0.019951311871409416,-17.000286102294922,-19.33591651916504,0.06224941199725542,2.7956399415415945
cruise_006,cruise,train,0.01,1.0,0.04740302264690399,-13.24194049835205,-14.394177436828613,0.14735128908599116,2.7952519657701487
cruise_006,cruise,train,0.02,1.0,0.019127734005451202,-17.183364868164062,-19.39645004272461,0.08079964789442329,2.794601524627069
cruise_006,cruise,train,0.05,0.9999999403953552,0.03695762902498245,-14.322958946228027,-14.384218215942383,0.133346579721767,2.792633065197151
cruise_006,cruise,train,0.1,0.9999999403953552,0.06552284955978394,-11.836071968078613,-11.5209379196167,0.23505856362169197,2.789320149051491
cruise_006,cruise,train,0.2,1.0,0.12801003456115723,-8.927560806274414,-10.992027282714844,0.5265809787647413,2.782509743090486
cruise_006,cruise,train,0.5,1.0,0.5618909001350403,-2.5034804344177246,-5.001196384429932,2.258675670193952,2.7606062329286942
cruise_007,cruise,train,0.002,1.0,0.0007097896304912865,-31.488704681396484,-38.6008415222168,0.0001890228786247672,0.2927579797033104
cruise_007,cruise,train,0.004,1.0,0.002243274124339223,-26.49117660522461,-34.885650634765625,0.000591439221527934,0.2927197421522578
cruise_007,cruise,train,0.01,1.0,0.007699027191847563,-21.135639190673828,-29.43102264404297,0.0019077552660795583,0.29260484832775546
cruise_007,cruise,train,0.02,1.0,0.008374234661459923,-20.770549774169922,-27.16041374206543,0.00210008064205347,0.2924118760347483
cruise_007,cruise,train,0.05,0.9999999403953552,0.009599532932043076,-20.177499771118164,-24.763574600219727,0.0024590056304276686,0.29183054854365764
cruise_007,cruise,train,0.1,0.9999999403953552,0.012543792836368084,-19.01571273803711,-20.43209457397461,0.0034189068965417846,0.290857347605197
cruise_007,cruise,train,0.2,1.0,0.03222513943910599,-14.918052673339844,-14.921670913696289,0.009162720824178905,0.2888848550937837
cruise_007,cruise,train,0.5,1.0,0.15618202090263367,-8.063690185546875,-7.616340637207031,0.045148848298822486,0.28274488638635376
cruise_008,cruise,val,0.002,1.0,0.004378469195216894,-23.586776733398438,-30.72624969482422,0.007927391104396053,1.597564995608991
cruise_008,cruise,val,0.004,1.0,0.015452361665666103,-18.110050201416016,-25.062782287597656,0.028213703702608894,1.5974351341283182
cruise_008,cruise,val,0.01,1.0,0.04250635206699371,-13.715462684631348,-18.621973037719727,0.08303616481038745,1.5970448716543615
cruise_008,cruise,val,0.02,1.0,0.01631779782474041,-17.87338638305664,-25.0316162109375,0.0401000343328235,1.5963921895890962
cruise_008,cruise,val,0.05,0.9999999403953552,0.03170790150761604,-14.988325119018555,-17.523326873779297,0.06911520979316066,1.5944173012976535
cruise_008,cruise,val,0.1,0.9999999403953552,0.0511355958878994,-12.91276741027832,-14.017444610595703,0.10583211232179224,1.5910684416885488
cruise_008,cruise,val,0.2,1.0,0.11780203133821487,-9.288472175598145,-10.40703296661377,0.23751228190371876,1.5841476198693272
cruise_008,cruise,val,0.5,1.0,0.5305312871932983,-2.752890110015869,-5.657314777374268,0.975408930433332,1.5614348519738996
cruise_009,cruise,train,0.002,1.0,0.0018035253742709756,-27.438777923583984,-31.130661010742188,0.0019170513140207568,1.105724847599049
cruise_009,cruise,train,0.004,1.0,0.006240015849471092,-22.048145294189453,-25.413345336914062,0.00663595045552845,1.10562219088024
cruise_009,cruise,train,0.01,1.0,0.019626976922154427,-17.07146644592285,-18.895336151123047,0.019989223341937645,1.1053121427685255
cruise_009,cruise,train,0.02,1.0,0.02321843057870865,-16.341670989990234,-18.9143123626709,0.023334548084554818,1.104760187175998
cruise_009,cruise,train,0.05,0.9999999403953552,0.01655130833387375,-17.811677932739258,-18.114582061767578,0.02213731759563231,1.1031525819707895
cruise_009,cruise,train,0.1,0.9999999403953552,0.030399879440665245,-15.171281814575195,-14.941583633422852,0.03999750189058204,1.1005057286456577
cruise_009,cruise,train,0.2,1.0,0.07639960199594498,-11.169089317321777,-11.301229476928711,0.10299516001617803,1.0952807812718675
cruise_009,cruise,train,0.5,1.0,0.3179595470428467,-4.976281642913818,-6.5647735595703125,0.45130136675311405,1.0788992062807665
cruise_010,cruise,test,0.002,1.0,0.00035104528069496155,-34.54637145996094,-36.50982666015625,7.822887075459306e-05,0.21326327400674927
cruise_010,cruise,test,0.004,1.0,0.000900382234249264,-30.455730438232422,-31.19377326965332,0.00020098094808540523,0.2132279297693458
cruise_010,cruise,test,0.01,1.0,0.0031860589515417814,-24.96746253967285,-25.753582000732422,0.0007069101337622286,0.2131213029169885
cruise_010,cruise,test,0.02,1.0,0.005793506745249033,-22.370586395263672,-24.655315399169922,0.001231351900081279,0.2129430423519807
cruise_010,cruise,test,0.05,0.9999999403953552,0.008704611100256443,-20.60250473022461,-21.24932289123535,0.001771651529551832,0.21241118953184923
cruise_010,cruise,test,0.1,0.9999999403953552,0.01693650521337986,-17.711761474609375,-18.291627883911133,0.00354032219482292,0.211511199362576
cruise_010,cruise,test,0.2,1.0,0.03443063050508499,-14.6305513381958,-14.69625473022461,0.007543722329387492,0.20967118440239574
cruise_010,cruise,test,0.5,1.0,0.1646864116191864,-7.833422660827637,-7.365638732910156,0.03475100042419399,0.2040824357245583
