model,top_one_percent_nmse_share_pct,median_nmse_db
W,92.45355987548828,-7.232110566048585
WM,56.46586227416992,-9.388769016418943
WI,92.40792846679688,-7.262825191022687
WMI,51.94131851196289,-9.166876856911808
