model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
W,all_dense,all,10356,5.700393199920654,7.559048133332313,-7.244626265337935,-0.3594280916143438
Hold,all_dense,all,10356,29.817200771849233,14.744668696199295,-9.804484711189883,-0.31435795153628565
Linear,all_dense,all,10356,33563.60432399959,45.258685926206624,1.872681262849816,14.447883371204979
W,all_dense,near,5184,0.46575960516929626,-3.3183818006240244,-6.625809655818422,-3.966570490410458
Hold,all_dense,near,5184,1.3356931952523623,1.2570671344597952,-7.275039480857278,-3.4062027411316445
Linear,all_dense,near,5184,643.7364861866608,28.087081250998644,3.0027173815614274,20.210684790860757
W,all_dense,far,5172,10.947172164916992,10.393019482373639,-8.000840889299935,-0.1808706758675916
Hold,all_dense,far,5172,58.36479073261454,17.661509326961635,-13.07093034682255,-0.15285659640333882
Linear,all_dense,far,5172,66559.85236561256,48.23212349988333,0.6104557950394819,13.445967322090087
W,all_dense,normal,2592,0.22828525304794312,-6.415221425034611,-8.033841135170187,-6.3223865603119025
Hold,all_dense,normal,2592,0.22816611446561377,-6.417488533153675,-11.11136398049796,-6.323077730045665
Linear,all_dense,normal,2592,127.47380334494224,21.054209437371565,2.246675174999015,21.04239972936915
W,all_dense,maneuver,2592,0.12452805787324905,-9.047327850609628,-9.59967340017125,-8.949614577670978
Hold,all_dense,maneuver,2592,0.08847604566508674,-10.531742958970764,-15.52018718587627,-10.34168168115021
Linear,all_dense,maneuver,2592,31.51195665888588,14.984753704788067,-4.785550091168181,14.892319524170858
W,all_dense,occlusion,5172,11.23719596862793,10.506579547138404,-2.9684622785715336,-0.1407365161119593
Hold,all_dense,occlusion,5172,59.54489456964653,17.74844530633533,-4.474116629258062,-0.09004668385698164
Linear,all_dense,occlusion,5172,67125.40512169564,48.268869198113144,4.881871833381403,13.916456400629869
W,all_dense,far_maneuver,1296,0.09687231481075287,-10.138003224627695,-10.434073932974556,-10.1271757229929
Hold,all_dense,far_maneuver,1296,0.02156674046793807,-16.662154878950076,-19.31883437875632,-16.7482572794521
Linear,all_dense,far_maneuver,1296,42.761695454386654,16.31054916178625,-5.490734025543596,16.125214734905878
W,all_dense,far_normal,1296,0.14759834110736847,-8.309185236238484,-9.22934559391442,-8.203181665867831
Hold,all_dense,far_normal,1296,0.08742774867729242,-10.583507048395324,-15.552157969132523,-10.369304562098517
Linear,all_dense,far_normal,1296,52.78417514149857,17.22503739222415,-3.658177307899262,16.975972367758793
W,all_dense,far_occlusion,2580,21.82245635986328,13.3890363367179,-0.7458271328793731,-0.055599966311719935
Hold,all_dense,far_occlusion,2580,116.9462948880427,20.679864669731526,-1.7707620801042023,-0.01751367219390079
