model,group,query_s,n,nmse,nmse_db,median_db,energy_weighted_db
W,all,0.009999999776482582,1296,0.3096484839916229,-5.091310419120698,-15.357519896469295,-5.14387045548712
W,all,0.019999999552965164,1296,0.8177926540374756,-0.873567948886984,-12.706061859710987,-2.6568337155790775
W,all,0.05000000074505806,1296,3.0798325538635254,4.885271051660553,-11.116050820398158,-1.1813810555196493
W,all,0.10000000149011612,1296,4.05206298828125,6.076761877371948,-8.978016107201709,-0.6035877078696562
W,all,0.20000000298023224,1296,6.2324981689453125,7.9466215958382325,-7.488985461177178,-0.2890517438189173
W,all,0.30000001192092896,1294,10.452628135681152,10.192255001428702,-6.692560912358379,-0.2011730035548803
W,all,0.4000000059604645,1292,11.839035987854004,10.733163407145812,-5.974172932042969,-0.1638973419300097
W,all,0.5,1290,8.543139457702637,9.316174958182325,-4.996786221309274,-0.12938960192240162
W,near,0.009999999776482582,648,0.2155628651380539,-6.664260526443119,-13.695846654224212,-7.366000214325851
W,near,0.019999999552965164,648,0.3891679346561432,-4.098629504581234,-9.362468718183344,-5.04940621660075
W,near,0.05000000074505806,648,0.2855532467365265,-5.443128975487927,-10.036944800112813,-6.129805809143621
W,near,0.10000000149011612,648,0.35367700457572937,-4.513931762907726,-7.317967817008446,-4.829953827777532
W,near,0.20000000298023224,648,0.43632572889328003,-3.6018917714170744,-6.253239323169674,-4.1094288533208765
W,near,0.30000001192092896,648,0.5577043890953064,-2.5359593762719204,-5.7010648679609535,-3.408151537278206
W,near,0.4000000059604645,648,0.699612557888031,-1.5514240363514427,-4.780396626661362,-2.767774750360352
W,near,0.5,648,0.813544750213623,-0.896185530697017,-3.88924028721973,-2.0397450717284054
W,far,0.009999999776482582,648,0.40373414754867554,-3.9390451671605846,-15.63917776920129,-3.8381492022428554
W,far,0.019999999552965164,648,1.2464174032211304,0.9566350424869023,-14.091388273297694,-1.8122412726891879
W,far,0.05000000074505806,648,5.874112129211426,7.689422323864745,-12.071492930789722,-0.6210829904102423
W,far,0.10000000149011612,648,7.750449180603027,8.893268729584765,-10.490399637148375,-0.307666140745606
W,far,0.20000000298023224,648,12.028670310974121,10.802176216437934,-8.741649747663889,-0.14453451755182478
