model,group,n,nmse,nmse_db,median_db,energy_weighted_db
W phase aligned,switch_window,1616,32.98554992675781,15.183237289247483,-1.4416772156995858,-0.06698364804790431
Hold,switch_window,1616,161.23280731368243,22.074534157917753,-0.08198663714298489,-0.06274472496555741
Hold amplitude,switch_window,1616,155.03988647460938,21.904434417018606,-6.889429708835002,-0.37359244930958985
Hold phase aligned,switch_window,1616,159.37124633789062,22.02409968984689,-4.438714561360467,-0.1877893940532577
WM,all,10356,0.8367065191268921,-0.7742684723299641,-9.388769016418943,-0.3781035271490788
WM amplitude,all,10356,0.5948486924171448,-2.2559348873356337,-12.99237852924977,-0.4786006601177059
WM phase aligned,all,10356,0.7187137603759766,-1.4344404013261227,-9.969623424626969,-0.43003529190884765
WM,near,5184,0.4114775061607361,-3.8565390095542726,-8.473364114414581,-4.6979394290571905
WM amplitude,near,5184,0.2208402156829834,-6.559218373791924,-12.396435360268871,-6.3522170974447185
WM phase aligned,near,5184,0.31481996178627014,-5.019377381338964,-8.882129326286071,-5.201543370252767
WM,far,5172,1.2629220485687256,1.0137654539205274,-10.355547580624297,-0.1848260435521135
WM amplitude,far,5172,0.9697248339653015,-0.1335148227373631,-13.553946515686583,-0.2520811790630614
WM phase aligned,far,5172,1.123544692993164,0.50590352709092,-10.994145795357738,-0.22581253103476734
WM,normal,2592,0.16442488133907318,-7.840324628870084,-11.76418930737578,-7.693137113088361
WM amplitude,normal,2592,0.07529431581497192,-11.23237808704621,-15.009853880061328,-11.075089830135605
WM phase aligned,normal,2592,0.15894711017608643,-7.987473636031761,-11.824695370027634,-7.845767361972972
WM,maneuver,2592,0.10100675374269485,-9.956495864636727,-14.69272306610662,-9.940752029710657
WM amplitude,maneuver,2592,0.0637274831533432,-11.956732331629869,-18.042181652536872,-12.097897742128067
WM phase aligned,maneuver,2592,0.10019947588443756,-9.991345501363574,-14.727382308312675,-9.977156858624424
WM,occlusion,5172,1.5423306226730347,1.8817748150434668,-2.7964097187990418,-0.1525456001656521
WM amplitude,occlusion,5172,1.1214052438735962,0.49762582598967486,-6.382568217525295,-0.23518658013888225
WM phase aligned,occlusion,5172,1.3092210292816162,1.170129725201827,-4.370955823194763,-0.20399369825234523
WM,far_maneuver,1296,0.1017661988735199,-9.923964467568924,-17.117389909005396,-10.17964396147746
WM amplitude,far_maneuver,1296,0.09306705743074417,-10.31204017276494,-19.72612393833008,-10.588450317196765
WM phase aligned,far_maneuver,1296,0.10151221603155136,-9.934816913876535,-17.202012059117656,-10.19127744006574
WM,far_normal,1296,0.08543693274259567,-10.683543515710971,-14.658555780344395,-10.463380304116583
WM amplitude,far_normal,1296,0.039618119597435,-14.021061413123077,-17.712461781347713,-13.790911389940009
WM phase aligned,far_normal,1296,0.08267861604690552,-10.826068016168652,-14.766902020042945,-10.612641073718656
WM,far_occlusion,2580,2.437681198120117,3.869769076193549,-0.467112096508263,-0.058415017434753976
WM amplitude,far_occlusion,2580,1.877308964729309,2.7353575404634634,-3.013571362833205,-0.1218006970513914
WM phase aligned,far_occlusion,2580,2.1597912311553955,3.3441177358654226,-1.6618136430057804,-0.09929411128436225
WM,near_maneuver,1296,0.100247323513031,-9.989272137106582,-12.401276964178304,-9.712161233029356
WM amplitude,near_maneuver,1296,0.03438791260123253,-14.63594185715644,-16.937895821133992,-14.46120874562611
