model,predicted_to_true_change_energy,predicted_to_true_energy
W,0.0373156523567779,0.05909702926874161
WM,0.031104626981788282,0.08084516227245331
WI,0.03760685902441023,0.0594828836619854
WMI,0.031422288937533495,0.07839049398899078
