epoch,train_loss,val_nmse,val_nmse_db,best_nmse_db,elapsed_s,total_elapsed_s,lr
0,3.68577552318573,0.9923136400265826,-0.03351038930162507,-0.03351038930162507,17.120708238333464,17.120708238333464,0.00029955301339130357
1,1.474455397605896,0.988472052630451,-0.050356051160744465,-0.050356051160744465,16.596211412921548,33.71691965125501,0.00029821480938629495
2,1.5013893580436706,0.9684829154113929,-0.1390803607858388,-0.1390803607858388,16.329077336005867,50.04599698726088,0.0002959936384576631
3,1.258080086549123,0.9562603873759508,-0.19423834290032707,-0.19423834290032707,16.261008280329406,66.30700526759028,0.00029290319486279724
4,1.2376081584294638,0.9410992051329877,-0.26364593394305474,-0.26364593394305474,17.267363871447742,83.57436913903803,0.00028896253221413656
5,2.073566002368927,0.9041425601020455,-0.4376308701982498,-0.4376308701982498,16.78573501110077,100.3601041501388,0.00028419594600731334
6,1.1033511978785198,0.878564394671056,-0.5622640124281177,-0.5622640124281177,16.64813479501754,117.00823894515634,0.0002786328238313434
7,1.3485130486488341,0.8546352636648549,-0.682191914403101,-0.682191914403101,16.725795086473227,133.73403403162956,0.0002723074641843674
8,1.075769562403361,0.8353780085924599,-0.7811696176500232,-0.7811696176500232,16.922185839153826,150.6562198707834,0.0002652588650120045
9,1.5910158036549886,0.8156502024311987,-0.8849605169248889,-0.8849605169248889,16.611225518397987,167.26744538918138,0.0002575304832720494
10,1.0803159165382386,0.8115078420461052,-0.9070727899129905,-0.9070727899129905,16.595557428896427,183.8630028180778,0.00024916996700787665
11,1.3414968852996827,0.7921327937290901,-1.0120200685816876,-1.0120200685816876,16.549301012419164,200.41230383049697,0.0002402288615824086
12,1.2932321203549704,0.7783347894479004,-1.088335573353945,-1.088335573353945,16.85457285773009,217.26687668822706,0.00023076229188381255
13,1.2409819129308064,0.7683896905018224,-1.1441847070806128,-1.1441847070806128,16.58456291910261,233.85143960732967,0.00022082862246223427
14,0.9954657096862793,0.7444016983091003,-1.2819264472258514,-1.2819264472258514,16.770956807769835,250.6223964150995,0.00021048909769293803
15,1.1063439178466796,0.7418451545014978,-1.2968673564207869,-1.2968673564207869,16.625598406419158,267.24799482151866,0.0001998074641843674
16,0.9909009461402893,0.7228336239585446,-1.4096165362077033,-1.4096165362077033,16.870496795512736,284.1184916170314,0.00018884957775910634
17,1.2277593615849813,0.706541275843564,-1.5086246177370337,-1.5086246177370337,16.86341424100101,300.9819058580324,0.0001776829974308335
18,0.8999681857426961,0.6896767484769225,-1.6135441541802802,-1.6135441541802802,16.575640206225216,317.5575460642576,0.00016637656888053755
19,0.972052172978719,0.6804101464545561,-1.6722921869796268,-1.6722921869796268,16.25848688930273,333.81603295356035,0.00015500000000000003
20,1.202865917523702,0.6580904322386616,-1.8171442321939173,-1.8171442321939173,16.55410284548998,350.37013579905033,0.00014362343111946253
21,0.7599336686134338,0.6471701129536248,-1.8898154714211746,-1.8898154714211746,16.36127349920571,366.73140929825604,0.0001323170025691666
22,0.6585440770785014,0.6335337714571506,-1.982302294521061,-1.982302294521061,16.57678860705346,383.3081979053095,0.00012115042224089376
23,0.8190290576616923,0.6246313355511262,-2.043762325368455,-2.043762325368455,16.548328197561204,399.8565261028707,0.00011019253581563266
24,0.6234571448961894,0.609948517056182,-2.147068202383897,-2.147068202383897,17.484276826493442,417.34080292936414,9.951090230706201e-05
25,0.8047545509338379,0.6058726081904023,-2.17618681734644,-2.17618681734644,17.64937417022884,434.990177099593,8.917137753776573e-05
26,0.6703630445798238,0.5960790015105158,-2.2469617709476224,-2.2469617709476224,16.91816393751651,451.9083410371095,7.923770811618743e-05
27,1.0666466986338297,0.5877010969988381,-2.3084349863374243,-2.3084349863374243,16.658685066737235,468.56702610384673,6.977113841759143e-05
28,0.8919333764712016,0.5837439854018804,-2.33777581149996,-2.33777581149996,16.99186324235052,485.55888934619725,6.08300329921234e-05
29,0.9615836717287699,0.5795403359333674,-2.369163318079679,-2.369163318079679,16.737278962507844,502.2961683087051,5.246951672795063e-05
30,0.6447779979705811,0.5762123788567259,-2.3941741594206802,-2.3941741594206802,16.844397321343422,519.1405656300485,4.4741134987995524e-05
31,0.6782214550971984,0.5710461907714812,-2.433287611309912,-2.433287611309912,16.7972399443388,535.9378055743873,3.7692535815632644e-05
32,0.6299335452715555,0.5660038610459823,-2.471806062229562,-2.471806062229562,16.853664567694068,552.7914701420814,3.136717616865664e-05
33,0.7082698895136516,0.56270743635897,-2.497173454674288,-2.497173454674288,16.69631474558264,569.487784887664,2.5804053992686677e-05
34,0.960925039768219,0.5604944476330032,-2.5142868525329334,-2.5142868525329334,16.95028644707054,586.4380713347346,2.103746778586343e-05
35,0.7817036169370015,0.5573446202573056,-2.5387618652247075,-2.5387618652247075,16.574962033890188,603.0130333686247,1.709680513720274e-05
36,1.0147714184125265,0.5550685797409258,-2.556533556826266,-2.556533556826266,16.78489280398935,619.7979261726141,1.4006361542336902e-05
37,0.6556790717442831,0.554757999859026,-2.558964263296982,-2.558964263296982,16.806329620070755,636.6042557926849,1.1785190613705041e-05
38,0.6860193216005961,0.5527828467595909,-2.57445441887906,-2.57445441887906,17.572215146385133,654.17647093907,1.0446986608696446e-05
39,0.7636021269162496,0.5520428036634499,-2.580272471364871,-2.580272471364871,16.808134605176747,670.9846055442467,1e-05
