group,model,nmse_db,median_nmse_db
near_los,Hold,-5.814585616723507,-8.123962269578497
near_los,Linear extrapolation,18.6985112679131,-0.3014946921065761
far_los,Hold,-12.636254562850029,-17.338396527724946
far_los,Linear extrapolation,15.515262520688282,-6.697857926006811
near_occlusion,Hold,3.818803309976077,-6.094143168412201
near_occlusion,Linear extrapolation,29.309497545339852,1.7968010605933624
