group,model,relative_nmse_reduction_pct,delta_nmse_ci_low,delta_nmse_ci_high
near_los,WM,0.028594786620461665,-0.000778472090121024,0.0008739916177304963
near_los,WI,0.2522486067676244,-0.0004334066387347568,-0.00029588638142416523
near_los,WMI,-0.08292278616428561,-0.0006241226983058762,0.0014410602092954083
far_los,WM,-3.041318752751887,-0.00046438912808963867,0.003601886329301085
far_los,WI,0.08580073464256044,-0.00011830592542380614,4.882813388392901e-05
far_los,WMI,-2.3022493986867065,-0.0006301998998369598,0.0029509209161342753
near_occlusion,WM,14.453333558868698,-0.27382861204727316,-0.024331630187103492
near_occlusion,WI,4.243599814508626,-0.06569689658230748,-0.00323107544291823
near_occlusion,WMI,14.439627484116869,-0.2827370267003432,-0.016759541527804567
