group,model,case,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,W,all_dense,2592,0.13767164618149552,-8.611554945642109,-12.599923001163827,-4.159841386264012,-8.510532262769656,0.9316683243623088,0.9288948970669385,0,-11.91973141821662,-8.781726572845116,0.06944898253006174
near_los,W,all_sparse,2592,0.18651581243711354,-7.292843436779231,-11.878800704472674,-2.230582652916524,-7.221585478045829,0.9061052192787776,0.9010444215723425,0,-11.32019422909486,-7.5139711291800015,0.05719782271153887
near_los,W,csi_32,2592,0.13767164618149552,-8.611554945642109,-12.599923001163827,-4.159841386264012,-8.510532262769656,0.9316683243623088,0.9288948970669385,0,-11.91973141821662,-8.781726572845116,0.06944898253006174
near_los,W,csi_4,2592,0.18651581243711354,-7.292843436779231,-11.878800704472674,-2.230582652916524,-7.221585478045829,0.9061052192787776,0.9010444215723425,0,-11.32019422909486,-7.5139711291800015,0.05719782271153887
near_los,W,csi_8,2592,0.15656385979065096,-8.053084804956992,-12.380691583061797,-3.3943001731616724,-7.971489162040805,0.9221249140143488,0.9183946500565578,0,-11.634699086105474,-8.25100205087053,0.061882740268553234
near_los,W,default,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,mismatched_motion,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,mismatched_rgb,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,motion_16,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,motion_2,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,offgrid_queries,2592,0.14705432697865134,-8.325221921341003,-12.19634061370866,-3.837396376971392,-8.206614196482002,0.926139248768363,0.923564273507222,0,-11.785063046041826,-8.469259295854677,0.06321394886046561
near_los,W,pattern_bursty,2592,0.14780968079121828,-8.302971209038262,-12.157536369442594,-3.807341003377282,-8.21901984292744,0.9263394127857806,0.9232206352137869,0,-11.781849328520092,-8.479330501930333,0.06466551036547999
near_los,W,pattern_gap,2592,0.1431104405764211,-8.443286812693996,-12.351139276203716,-3.9662064880371766,-8.347003756954983,0.929056972607436,0.9260239391819031,0,-11.825484987896992,-8.62191195032766,0.06692006011255591
near_los,W,pattern_recent,2592,0.14702355254897193,-8.326130875463205,-12.155242265338655,-3.8991338901672554,-8.271278965398452,0.9263958812270774,0.9234496400275162,0,-11.722523923966616,-8.491337761667799,0.06507939797690866
near_los,W,pattern_uniform,2592,0.14160172553076342,-8.48931454386907,-12.473361705107884,-4.062927001834474,-8.388412014129186,0.9296823483576525,0.9267475794627965,0,-11.870255826505652,-8.664020196802483,0.06783356750454855
near_los,W,rgb_10,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,rgb_2,2592,0.14262810194256667,-8.45794897231815,-12.548018838032654,-3.9510750694427923,-8.361622942298201,0.9291442703895578,0.9260686778669962,0,-11.846230930316388,-8.638632214527508,0.0672596901048815
near_los,W,wrong_uniform_clocks,2592,0.1441338416634994,-8.41234037769124,-12.364278619055911,-3.9364778913117537,-8.311736904676195,0.9283477803652195,0.9252919754609439,0,-11.829846974013055,-8.589871278079546,0.0664945919994946
near_los,WM,all_dense,2592,0.13757608901835752,-8.614570407352943,-12.649201107870777,-4.093750053334666,-8.513146232827994,0.9316748620006422,0.9288691836071635,0,-11.927011214766344,-8.786499898270234,0.06925572986990483
near_los,WM,all_sparse,2592,0.1854303280088547,-7.318192334616361,-11.913373957994411,-2.267983378005435,-7.24770632204263,0.9068432918528999,0.9018203903771681,0,-11.32615040444753,-7.539236878604886,0.057318075199753286
