group,model,route,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,W,near_maneuver_010,648,0.11042459156756203,-9.5693419841127,-10.318384087737904,-6.792798945969808,-9.496447316329132,0.9451542863194172,0.9439276549559188,0,-12.988180455327011,-9.663707520765453,0.04651760504372609
near_los,W,near_maneuver_014,648,0.014069379888465173,-18.517250437843465,-21.511194388769294,-14.185888332250778,-18.837183048890086,0.9935720919405985,0.9935360387681724,0,-24.407833373385003,-18.539746402084845,0.07054882763063762
near_los,W,near_normal_006,648,0.09183481557392546,-10.369926418362326,-20.474547649310956,-5.080768201077554,-10.241672569646006,0.9541072911908369,0.9525923464104189,0,-13.737233879576216,-10.50945542274357,0.09154808061795745
near_los,W,near_normal_013,648,0.3541836207403141,-4.507715266766532,-4.950812919607343,-1.6135402686101377,-4.43065533415448,0.8237434121073789,0.8142186713334747,0,-7.817121608255401,-4.732927797407166,0.03360830184197705
near_los,WM,near_maneuver_010,648,0.11033946006891229,-9.5726914553385,-10.357139754797736,-6.73555618569747,-9.49990303730296,0.9451431372937442,0.9438985053423281,0,-13.03248085185194,-9.668771719816823,0.04647643546408326
near_los,WM,near_maneuver_014,648,0.013059794267853732,-18.84063664488175,-21.90570454955901,-14.54226356141107,-19.144361177557332,0.9939775469212563,0.9939493159711836,0,-24.614113439284253,-18.85955440123624,0.07094259383605044
near_los,WM,near_normal_006,648,0.09148420280888853,-10.386538920016495,-20.403212750322265,-5.106356879649406,-10.258219522927076,0.954289529488265,0.9527968168201297,0,-13.742724005382858,-10.524543452503359,0.09137706492441262
near_los,WM,near_normal_013,648,0.3554658138189671,-4.492021602891808,-4.914710691165198,-1.6066154546492815,-4.416308464491147,0.8232206328985704,0.8135166510106535,0,-7.800354555966895,-4.720344250442484,0.03341469359953026
near_los,WI,near_maneuver_010,648,0.1099454538401766,-9.588227236742139,-10.37626802297165,-6.74941466173439,-9.514885666467796,0.9453568284360762,0.9441330686525736,0,-13.01275392774742,-9.68280075516353,0.04661386724607729
near_los,WI,near_maneuver_014,648,0.013773166515682469,-18.609662019222238,-21.791002700292452,-14.309497572683508,-18.931826477444126,0.9936895639888691,0.9936608344198538,0,-24.46556487738539,-18.62787234524989,0.07097878797514279
near_los,WI,near_normal_006,648,0.09146661646412241,-10.387373860525935,-20.520508216338417,-5.061168098386006,-10.259786725757085,0.9542698123525633,0.9527748914258736,0,-13.753691331207246,-10.525632724877909,0.09165178485051438
near_los,WI,near_normal_013,648,0.3538880613502484,-4.51134088329327,-5.054724526736853,-1.603996742640781,-4.433416956999955,0.8239025327666132,0.8143709690704858,0,-7.819241240850127,-4.7366538950551975,0.033603934379448634
near_los,WMI,near_maneuver_010,648,0.10994091591089153,-9.58840649275062,-10.394054716333994,-6.679763477064828,-9.515191258616932,0.9453179599949497,0.9440914885451809,0,-13.037089874760603,-9.683411990943897,0.04656040803599874
near_los,WMI,near_maneuver_014,648,0.01338407368719216,-18.734116809926995,-21.72184850838979,-14.408181059255856,-19.052186795926946,0.9938480687976574,0.9938229393954479,0,-24.538570730716955,-18.75055640914882,0.07160735853104042
near_los,WMI,near_normal_006,648,0.09139424338452097,-10.390811581509684,-20.579120479081993,-5.108328656934303,-10.263068933351773,0.9543237489176986,0.9528304741111493,0,-13.748225298821147,-10.529122207247037,0.09148416678676005
near_los,WMI,near_normal_013,648,0.35626625957159813,-4.482253058435519,-4.927871007579751,-1.5986844957934963,-4.406686245109147,0.8228017529525286,0.8130809347347439,0,-7.804017601845508,-4.71058985054324,0.033297818564688865
far_los,W,far_maneuver_002,648,0.012333796204049745,-19.0890323186138,-19.867415941817434,-15.530959739625182,-18.998173479906313,0.9940467814702044,0.9940120677693126,0,-22.794869945789294,-19.112999484657514,0.04281517390583138
far_los,W,far_maneuver_007,648,0.020535938086853323,-16.87485453675262,-22.685798212168073,-12.098739948752952,-17.00869256452991,0.9902149573800177,0.9900048812753337,0,-20.578546325319582,-16.962512527378312,0.07387464966366714
far_los,W,far_normal_005,648,0.04012743722697891,-13.965585759681787,-21.31465257759477,-9.081749870832208,-13.597659580324068,0.9798656670565074,0.9795537102248506,0,-17.30966766123286,-14.030041287069777,0.16467648311560154
far_los,W,far_normal_012,648,0.08895433584235428,-10.508328785354646,-12.824762584909264,-6.906746273105191,-10.23218649021607,0.9570448999622861,0.9554058308802356,0,-14.090801455430933,-10.662887590701489,0.08370714262906707
far_los,WM,far_maneuver_002,648,0.012240688270951759,-19.121941619394278,-20.051565082769937,-15.501275638955756,-19.036310429324576,0.9940061776679973,0.9939729483920798,0,-22.908291244212037,-19.145233795748037,0.04329475111379318
far_los,WM,far_maneuver_007,648,0.021556626823309714,-16.664191964832025,-22.428848797826678,-11.838774112057058,-16.800482141927183,0.9896692020302044,0.9894453304965064,0,-20.275499935954045,-16.752028617697814,0.07631478389212923
far_los,WM,far_normal_005,648,0.03929176690389762,-14.056984410441629,-21.80050299509179,-9.013177594856723,-13.68615261538194,0.9803627436272844,0.9800824497779485,0,-17.25016707956091,-14.115821004566273,0.16655186571077393
far_los,WM,far_normal_012,648,0.09378788692578839,-10.278532488383194,-12.525498216441209,-6.870960186376366,-10.022913378175,0.9548215753950184,0.9530441737985677,0,-13.831771093001946,-10.437132021366203,0.08062058695797078
far_los,WI,far_maneuver_002,648,0.01243019394448843,-19.055220951424246,-19.892236701978288,-15.464475506554853,-18.965210312667683,0.993997528172008,0.9939624349006582,0,-22.769523328160908,-19.079249513789676,0.042916149914615
far_los,WI,far_maneuver_007,648,0.020537196614182497,-16.874588391264314,-22.708463083694177,-12.09639182160924,-17.00876893849906,0.9901943339158431,0.9899877105416066,0,-20.568984389440974,-16.960702950015524,0.0741569580519196
far_los,WI,far_normal_005,648,0.039990274819982484,-13.980456113105443,-21.392889920397366,-9.078415547677777,-13.612246908023542,0.9799468911573982,0.9796421928237317,0,-17.28762490044265,-14.043690296997525,0.16507318295825738
far_los,WI,far_normal_012,648,0.08885488639850309,-10.513186840370265,-12.839898310638302,-6.932011870381608,-10.236751984138424,0.9571311633660399,0.9555097957506828,0,-14.072744779547916,-10.666088924313975,0.08373607667675793
far_los,WMI,far_maneuver_002,648,0.0121471346385909,-19.15526154774127,-20.069977741846756,-15.518005934100952,-19.069482221220127,0.994048602602099,0.9940151904156725,0,-22.966444892606752,-19.178868367145824,0.04304936001215429
far_los,WMI,far_maneuver_007,648,0.021528083747560392,-16.669946257686142,-22.304079732699932,-11.84025799732389,-16.80834836679717,0.9896691921545608,0.9894420419130827,0,-20.34121705038828,-16.75944383847135,0.07567093334504495
far_los,WMI,far_normal_005,648,0.039053698992763834,-14.083378253957584,-21.7858127907352,-9.020358412852769,-13.710327469485792,0.9804374944289835,0.9801601271664059,0,-17.3106974872003,-14.142146009714844,0.1675846955415883
far_los,WMI,far_normal_012,648,0.09295111758568626,-10.317453841774107,-12.59240996207117,-6.862924770557058,-10.057772664211939,0.9552518223655773,0.9534983235837402,0,-13.86989254275294,-10.4747418928741,0.08119569617408623
near_occlusion,W,near_occlusion_002,648,0.7730581686185609,-1.1178782644440708,-2.3542743549770764,1.391426721549443,-2.2244819031199006,0.7548460301049754,0.5531376436778397,0,-4.055921941650476,-2.5394711783513912,0.08929989455751881
near_occlusion,W,near_occlusion_008,648,0.8441018746485135,-0.7360513521355336,-9.44602725281785,0.2494334729148813,-8.595489962241272,0.9324760140450568,0.854417542958357,0,-3.1571304540355527,-2.38923373819667,0.3791305316978153
near_occlusion,W,near_occlusion_021,648,0.20394385931133474,-6.904893666271087,-10.042299422248185,-1.9744416192426737,-3.0867261103577226,0.9841724512029747,0.9097245236025858,0,-7.79543231684705,-7.622797061308727,0.08190083974087368
near_occlusion,W,near_occlusion_026,648,1.2775312287427572,1.0637152509237873,-1.3931822037407915,2.418734179154006,-0.9140048947354646,0.7664079463081478,0.4210345120024995,0,-2.0298315194183396,-0.9937228988159547,0.1859310699931827
near_occlusion,WM,near_occlusion_002,648,0.7489833062016068,-1.2552786201391144,-2.4389411880855314,1.2607474278657471,-2.343202086560328,0.7589639658724168,0.5623594117685478,0,-4.128237783361998,-2.6222663589128454,0.09074289600677145
near_occlusion,WM,near_occlusion_008,648,0.4871931912379002,-3.1229878980964583,-8.018725148054529,-0.17113166003002941,-7.560439776843055,0.9324280549806797,0.8561309852586788,0,-6.016092917029471,-5.036162229908264,0.26253287634741523
near_occlusion,WM,near_occlusion_021,648,0.16165973179401785,-7.913981460649619,-15.802716566119493,-1.7320922962226983,-3.3215486755404964,0.9844759049519816,0.9137551582462438,0,-9.256465091573453,-8.935329451512645,0.11709397438751092
near_occlusion,WM,near_occlusion_026,648,1.2529428307855042,0.9793125547873633,-1.3459714703226733,2.251480964053869,-0.9106246689235609,0.770534320951731,0.42403580021542203,0,-2.102997521281411,-1.0826886490192986,0.17662861093931906
near_occlusion,WI,near_occlusion_002,648,0.771386701454324,-1.1272785255163136,-2.3455211092860875,1.4084043758218854,-2.235608787235965,0.7534943157662136,0.5538074681654811,0,-4.045095009821431,-2.5236947807035097,0.09061098495153358
near_occlusion,WI,near_occlusion_008,648,0.7581029071126365,-1.2027183795934702,-9.901686487720184,0.28146617836766163,-8.880259163932672,0.9324042455178294,0.8548290232990483,0,-3.8057375510669007,-2.9625096748929747,0.3606828560494343
near_occlusion,WI,near_occlusion_021,648,0.19915317558973517,-7.008127641725382,-10.595073193455796,-1.8201808109787514,-3.107942271184899,0.9832920011248041,0.9118758603869136,0,-7.871903406199304,-7.706558293177785,0.08220439660286319
near_occlusion,WI,near_occlusion_026,648,1.2384986724794265,0.9289554541102116,-1.3439614473685213,2.350128265115698,-0.9280496036076951,0.7664237790100541,0.4198640951395352,0,-2.2223469100871083,-1.1604377602628415,0.17283371234006745
near_occlusion,WMI,near_occlusion_002,648,0.7520729249974945,-1.2374004585986804,-2.4739032071503715,1.2265270885275317,-2.3520360426259175,0.758616574261681,0.5633986770349158,0,-4.129028785469883,-2.6099117442612774,0.09451882053371961
near_occlusion,WMI,near_occlusion_008,648,0.47411425358841136,-3.241169880226533,-8.441228720925748,-0.09206597351271184,-7.853058782078569,0.9323774143853173,0.8556025364441691,0,-6.244431910522917,-5.218560137207024,0.2613227218979269
near_occlusion,WMI,near_occlusion_021,648,0.16001919337229367,-7.958279231206106,-16.120767261301122,-1.7427956171282288,-3.3393086093616233,0.984170569046673,0.9142153105509763,0,-9.299425552292513,-8.979387530168184,0.11901492008374567
