group,model,query_ms,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,W,10.0,324,0.18483521216682147,-7.332152896472742,-14.478693987385338,-1.8185117109061852,-7.1903579255531,0.9137360666771678,0.9060803949747775,0,-10.59877953520475,-7.703156492065288,0.07853955655328083
near_los,W,20.0,324,0.23598072332636855,-6.271234720083343,-9.591695407344808,-1.5204275525256659,-6.246447892237352,0.8865622978220886,0.8805751493019108,0,-9.508487929979236,-6.490777233254125,0.044886109763876615
near_los,W,50.0,324,0.10315045422941087,-9.865288552439822,-15.55077839076857,-5.13928997072404,-9.794804136939906,0.949777406945347,0.9468423321962671,0,-13.07722761093385,-10.107695541022423,0.08869539935030307
near_los,W,100.0,324,0.1120572547241107,-9.50560021461297,-13.912290236254561,-4.445350573101399,-9.432603732122562,0.9434418661248445,0.9411614978923043,0,-12.719809259679584,-9.671565983598084,0.06211048001549332
near_los,W,200.0,324,0.11571428268437192,-9.366130325073652,-12.743313289332718,-4.906121197817182,-9.276261610484717,0.9406096851892002,0.9391754345553603,0,-12.856729144634304,-9.465375105658033,0.05852241971023325
near_los,W,300.0,324,0.12071144782837057,-9.182515410631026,-11.983343373017192,-4.655131990295684,-9.068021157720985,0.9376489647161632,0.9363457099063269,0,-12.777293645468397,-9.266411100311903,0.06351770603921109
near_los,W,400.0,324,0.13212685560593057,-8.790089003561746,-11.605747116413124,-4.500226015709198,-8.685574105296915,0.9314727143798827,0.9301761107801648,0,-12.310673436699709,-8.86293385622593,0.06142947073563381
near_los,W,500.0,324,0.13644858497514892,-8.650309637732791,-10.986412767914347,-4.719113013652427,-8.519492456961602,0.9299051612617694,0.9281927933288586,0,-12.375844245073338,-8.740600263632546,0.06081078290674484
near_los,WM,10.0,324,0.18430673684662344,-7.344587900015375,-14.484131709817294,-1.8331428681743485,-7.202627285456512,0.9139163810950314,0.9062920493816919,0,-10.610081718833076,-7.714866645369033,0.078628104791462
near_los,WM,20.0,324,0.23457998059168125,-6.297090539832617,-9.605847841182674,-1.5403213461372025,-6.271787144469294,0.8870528853157227,0.8811633684543072,0,-9.5275916505936,-6.513981787895958,0.0449088914164295
near_los,WM,50.0,324,0.10179397236114893,-9.922779375964591,-15.15877276764218,-5.141521691186678,-9.851497867486144,0.950282877862624,0.9475037194632175,0,-13.125537577529913,-10.154632562186759,0.08829787028855526
