epoch,train_loss,val_nmse,val_nmse_db,best_nmse_db,elapsed_s,total_elapsed_s,lr
0,2.7552144881884257,0.8734476880853375,-0.587631003618638,-0.587631003618638,133.75326335337013,133.75326335337013,0.00029955301339130357
1,2.1681574821472167,0.6553625791975194,-1.835183601950169,-1.835183601950169,132.39674148801714,266.1500048413873,0.00029821480938629495
2,1.5605274310112,0.5336713662298603,-2.72726098343069,-2.72726098343069,132.99847297929227,399.14847782067955,0.0002959936384576631
3,3.310280962228775,0.5176251892978325,-2.8598459766611404,-2.8598459766611404,118.2723815664649,517.4208593871444,0.00029290319486279724
4,1.0732219047546387,0.4992539931124904,-3.0167845288733486,-3.0167845288733486,61.85781432874501,579.2786737158895,0.00028896253221413656
5,4.1466876006126405,0.4940050329687074,-3.0626862642169184,-3.0626862642169184,62.323932248167694,641.6026059640571,0.00028419594600731334
6,0.8547351860205332,0.48797876899648046,-3.1159907289125255,-3.1159907289125255,61.88060533721,703.4832113012671,0.0002786328238313434
7,3.854109489440918,0.48241526616582026,-3.165789572802804,-3.165789572802804,61.58106935489923,765.0642806561664,0.0002723074641843674
8,0.7302399524052938,0.488666417395903,-3.1098750594991094,-3.165789572802804,62.123215306550264,827.1874959627166,0.0002652588650120045
9,2.7517502838770547,0.48206435871827935,-3.168949767604607,-3.168949767604607,62.58443142287433,889.771927385591,0.0002575304832720494
10,2.2473306960264843,0.477135347626172,-3.2135840840366807,-3.2135840840366807,49.54068701248616,939.3126143980771,0.00024916996700787665
11,3.601692010005315,0.47490505619285006,-3.2339320657093023,-3.2339320657093023,48.947553204372525,988.2601676024497,0.0002402288615824086
12,7.918269661426544,0.4681955056151168,-3.295727595755814,-3.295727595755814,48.90118991304189,1037.1613575154915,0.00023076229188381255
13,7.734712423006694,0.47118342922483053,-3.268099914016889,-3.295727595755814,49.06636672466993,1086.2277242401615,0.00022082862246223427
14,2.1465080203215283,0.4643863157301934,-3.3312058628580554,-3.3312058628580554,49.332567737437785,1135.5602919775993,0.00021048909769293803
15,6.874393531958262,0.4732749158449264,-3.248865130659631,-3.3312058628580554,48.73594147711992,1184.2962334547192,0.0001998074641843674
16,3.3509452460606894,0.4589119452377781,-3.3827063770012327,-3.3827063770012327,106.63121102564037,1290.9274444803596,0.00018884957775910634
17,5.880643204689026,0.4635048329897432,-3.3394573308402857,-3.3827063770012327,113.99791111424565,1404.9253555946052,0.0001776829974308335
18,1.538659990866979,0.45950983245546617,-3.3770519127359107,-3.3827063770012327,107.53151108603925,1512.4568666806445,0.00016637656888053755
19,4.165160294055939,0.46011645901689513,-3.3713223112910633,-3.3827063770012327,106.2834033453837,1618.7402700260282,0.00015500000000000003
20,7.936240509430568,0.4551857652323734,-3.418113278469368,-3.418113278469368,105.79114548210055,1724.5314155081287,0.00014362343111946253
21,1.3298796093463898,0.45499191381088977,-3.4199632162534046,-3.4199632162534046,106.38872108235955,1830.9201365904883,0.0001323170025691666
22,0.579144920428594,0.45417740045632754,-3.4277447976246718,-3.4277447976246718,105.80799756478518,1936.7281341552734,0.00012115042224089376
23,4.560310476064682,0.45431169195669807,-3.426460862385619,-3.4277447976246718,105.89181045256555,2042.619944607839,0.00011019253581563266
24,0.6129420864582061,0.453087277496751,-3.4381813245893067,-3.4381813245893067,101.78390801046044,2144.4038526182994,9.951090230706201e-05
25,3.203279846270879,0.45398046328996616,-3.4296283627929625,-3.4381813245893067,104.63998171966523,2249.0438343379647,8.917137753776573e-05
26,1.441826668659846,0.4518608904303983,-3.449952461998766,-3.449952461998766,93.73002359177917,2342.773857929744,7.923770811618743e-05
27,8.442383281310399,0.4517613912518654,-3.4509088780863584,-3.4509088780863584,40.30986515805125,2383.083723087795,6.977113841759143e-05
28,4.36980339161555,0.4524655054194025,-3.444145244743356,-3.4509088780863584,40.990292995236814,2424.074016083032,6.08300329921234e-05
29,6.918583920081456,0.45203457503062155,-3.4482834578433263,-3.4509088780863584,40.91172127518803,2464.98573735822,5.246951672795063e-05
30,0.9391836289564769,0.45195441505561273,-3.4490536671111127,-3.4509088780863584,41.3298287820071,2506.315566140227,4.4741134987995524e-05
31,1.9772937583128611,0.45173958309926093,-3.4511185327653755,-3.4511185327653755,40.671522532589734,2546.9870886728168,3.7692535815632644e-05
32,1.6188844305674235,0.4496746783600085,-3.471015673089599,-3.471015673089599,40.92215721029788,2587.9092458831146,3.136717616865664e-05
33,3.3474413259824116,0.4492274065357115,-3.475337560968104,-3.475337560968104,40.739107196219265,2628.648353079334,2.5804053992686677e-05
34,9.451234823942185,0.4497102587752872,-3.47067205207952,-3.475337560968104,41.094610628671944,2669.742963708006,2.103746778586343e-05
35,4.941341431538264,0.4496352556156408,-3.4713964334860874,-3.475337560968104,40.72943810373545,2710.4724018117413,1.709680513720274e-05
36,9.077520295143128,0.44946110570855025,-3.4730788414653135,-3.475337560968104,41.091592237353325,2751.5639940490946,1.4006361542336902e-05
37,2.307356588681539,0.4496098053269088,-3.4716422601342876,-3.475337560968104,40.77398544270545,2792.3379794918,1.1785190613705041e-05
38,4.01144136929512,0.4497729141011627,-3.4700670188081006,-3.475337560968104,40.476065346971154,2832.814044838771,1.0446986608696446e-05
39,5.706626929521561,0.44964468883453973,-3.471305320703248,-3.475337560968104,40.36426825635135,2873.1783130951226,1e-05
