epoch,train_loss,val_nmse,val_nmse_db,best_nmse_db,elapsed_s,total_elapsed_s,lr
0,229.61632540003458,1.0251241213662756,0.10776452670722568,0.10776452670722568,11.646446098573506,11.646446098573506,0.00029955301339130357
1,11.14827218723297,1.0154576681637102,0.06661823490598835,0.06661823490598835,10.757099470123649,22.403545568697155,0.00029821480938629495
2,4.793250658035278,0.9906811061418719,-0.04066119612246316,-0.04066119612246316,11.398091619834304,33.80163718853146,0.0002959936384576631
3,2.1433191464742025,0.9911347082257271,-0.03867315178443734,-0.04066119612246316,11.7482685809955,45.54990576952696,0.00029290319486279724
4,1.410986294746399,0.9932482938799593,-0.029421722672187435,-0.04066119612246316,11.035255312919617,56.585161082446575,0.00028896253221413656
5,2.615726415316264,0.9949279048459397,-0.02208388261285089,-0.04066119612246316,11.277451223693788,67.86261230614036,0.00028419594600731334
6,1.2727750457127889,0.9884659893314044,-0.05038269091638872,-0.05038269091638872,11.155735260806978,79.01834756694734,0.0002786328238313434
7,1.328701341787974,0.995711082327697,-0.018666591196186272,-0.05038269091638872,11.013059178367257,90.0314067453146,0.0002723074641843674
8,1.2510588817596435,0.9869023819102182,-0.057258028464508656,-0.057258028464508656,11.105647068470716,101.13705381378531,0.0002652588650120045
9,1.4270418329238892,0.9866575232230955,-0.05833568287907685,-0.05833568287907685,10.89416111074388,112.0312149245292,0.0002575304832720494
10,1.2039652608235678,0.9858925639589627,-0.06170409016167586,-0.06170409016167586,11.388827436603606,123.4200423611328,0.00024916996700787665
11,1.312677806854248,0.9840632201565637,-0.06976999858114936,-0.06976999858114936,10.999977734871209,134.420020096004,0.0002402288615824086
12,1.3337056020100913,0.9816414999547932,-0.08047089624587822,-0.08047089624587822,11.095164217986166,145.51518431399018,0.00023076229188381255
13,1.244516668955485,0.9859241650087965,-0.06156488694502067,-0.08047089624587822,11.249887201935053,156.76507151592523,0.00022082862246223427
14,1.0511426307360332,0.9837164523121383,-0.07130065127566979,-0.08047089624587822,11.0818932922557,167.84696480818093,0.00021048909769293803
15,1.1655869261423746,0.9893829643477996,-0.046355717901529266,-0.08047089624587822,11.132203394547105,178.97916820272803,0.0001998074641843674
16,1.0937020120620728,0.9831407207912869,-0.07384315444391283,-0.08047089624587822,10.974964980967343,189.95413318369538,0.00018884957775910634
17,1.2088110936482748,0.9883448033531507,-0.05091516880350201,-0.08047089624587822,11.17489249072969,201.12902567442507,0.0001776829974308335
18,1.008268694559733,0.9712481754273177,-0.12669784049553967,-0.12669784049553967,11.157063310034573,212.28608898445964,0.00016637656888053755
19,1.0739229586919148,0.9596598494218456,-0.17882674977728744,-0.17882674977728744,11.542019098065794,223.82810808252543,0.00015500000000000003
20,1.1046808754603068,0.9528760509772434,-0.20963588215362472,-0.20963588215362472,10.897768492810428,234.72587657533586,0.00014362343111946253
21,0.9785285828908284,0.9557281369053655,-0.19665628051240958,-0.20963588215362472,11.047423762269318,245.77330033760518,0.0001323170025691666
22,0.9641480638186137,0.94759634649588,-0.2337662238968802,-0.2337662238968802,11.525752280838788,257.29905261844397,0.00012115042224089376
23,1.0300682395299277,0.9440420817335446,-0.2500864610730419,-0.2500864610730419,11.290049718692899,268.58910233713686,0.00011019253581563266
24,0.9539501328468323,0.9378723650094536,-0.2785626070807129,-0.2785626070807129,11.256616621278226,279.8457189584151,9.951090230706201e-05
25,1.002635135014852,0.9299315116844243,-0.31549035524355884,-0.31549035524355884,12.356834832578897,292.202553790994,8.917137753776573e-05
26,0.9631612474123636,0.9170597922139697,-0.3760234744662836,-0.3760234744662836,15.203200868330896,307.4057546593249,7.923770811618743e-05
27,1.028866093158722,0.9114686894002888,-0.40258245554518113,-0.40258245554518113,15.028184559196234,322.4339392185211,6.977113841759143e-05
28,0.9997143066724141,0.9067456764645047,-0.4251450654111452,-0.4251450654111452,15.401676204055548,337.83561542257667,6.08300329921234e-05
29,1.100276624361674,0.905882434439328,-0.4292816147029589,-0.4292816147029589,14.683847825042903,352.51946324761957,5.246951672795063e-05
30,0.9206713980038961,0.9024980822619465,-0.4455371226323439,-0.4455371226323439,15.588296448811889,368.10775969643146,4.4741134987995524e-05
31,0.9413897393544515,0.9003934042321311,-0.45567695053216,-0.45567695053216,14.724635479971766,382.8323951764032,3.7692535815632644e-05
32,0.9246627322832743,0.8998008986893627,-0.45853577412243157,-0.45853577412243157,14.964166672900319,397.79656184930354,3.136717616865664e-05
33,0.9629288422266642,0.8963954704296258,-0.47500346662176146,-0.47500346662176146,14.723715449683368,412.5202772989869,2.5804053992686677e-05
34,1.0256192245483398,0.8974190689954493,-0.47004706508413424,-0.47500346662176146,15.492595369927585,428.0128726689145,2.103746778586343e-05
35,0.938070272286733,0.895021746435927,-0.4816641245795621,-0.4816641245795621,14.950571821071208,442.9634444899857,1.709680513720274e-05
36,1.0915917321840922,0.8920576056962212,-0.4960709962813794,-0.4960709962813794,15.18344197794795,458.14688646793365,1.4006361542336902e-05
37,0.9469390193621318,0.8911912908529241,-0.5002906628277727,-0.5002906628277727,14.843395628966391,472.99028209690005,1.1785190613705041e-05
38,0.9567314508756002,0.8914397271929516,-0.4990801539654846,-0.5002906628277727,15.062641941942275,488.0529240388423,1.0446986608696446e-05
39,0.9939518828392029,0.8902610662620929,-0.5048261918508546,-0.5048261918508546,14.605175511911511,502.65809955075383,1e-05
