model,horizon_band_ms,nmse_db,nmse_linear,seeds
hold,0-20,-8.734010176327896,0.1338440231431699,1
hold,20-50,-6.533817953446421,0.2221356201640897,1
hold,50-100,-4.246787619950626,0.3761155057284495,1
hold,100-200,-4.572115972777782,0.3489702485100183,1
hold,200-500,35.70980240922,3723.747639499951,1
linear,0-20,-9.925044137003832,0.10174090262808022,1
linear,20-50,-7.124472011843056,0.1938888339581419,1
linear,50-100,-1.2268392524357155,0.7539040472089009,1
linear,100-200,3.5259689645228915,2.252147842638858,1
linear,200-500,46.209118971411975,41774.56123666194,1
kalman,0-20,-9.976704296895498,0.10053784460572336,1
kalman,20-50,-7.221439153206122,0.18960775001053745,1
kalman,50-100,-2.737373523069264,0.5324301589948284,1
kalman,100-200,1.8235884347305995,1.52180442813463,1
kalman,200-500,44.912169815207896,30989.672135892073,1
harmonic,0-20,-0.5353710682031738,0.884021633740785,1
harmonic,20-50,-4.152281174880618,0.3843898244385761,1
harmonic,50-100,7.84867376498549,6.093507871719297,1
harmonic,100-200,12.883184689414197,19.423096547378055,1
harmonic,200-500,45.8708493026045,38644.254204080135,1
cru,0-20,-4.059586333622137,0.3926823366908174,3
cru,20-50,-3.208374301843862,0.4777080610496891,3
cru,50-100,-3.070927703022632,0.4930684676024128,3
cru,100-200,-2.617403402376628,0.5473431153464472,3
cru,200-500,26.68494834127303,466.1168835731559,3
latent_ode,0-20,-2.6497140262436956,0.5432861045587297,3
latent_ode,20-50,-2.228868620561687,0.5985675074185703,3
latent_ode,50-100,-2.2611145888661097,0.5941396569240182,3
latent_ode,100-200,-1.6381856360769511,0.6857746645708019,3
latent_ode,200-500,22.56092640666529,180.340238903871,3
neural_flow,0-20,-0.47915549341989444,0.8955388904786578,3
neural_flow,20-50,-0.4612220689149438,0.8992445059248673,3
neural_flow,50-100,-0.42563533270477405,0.9066433213400037,3
neural_flow,100-200,-0.24310500763647588,0.9455608866972837,3
neural_flow,200-500,14.478230377597388,28.04290739042527,3
tpatchgnn,0-20,-3.962108679480144,0.4015957721321861,3
tpatchgnn,20-50,-3.6308851969396994,0.4334225274151979,3
tpatchgnn,50-100,-3.32069116393104,0.46551200307902185,3
tpatchgnn,100-200,-2.8404168406686385,0.5199460891351877,3
tpatchgnn,200-500,29.293767081626164,849.9173759366078,3
