condition,model,seeds,targets_per_seed,nmse_linear,nmse_db,seed_nmse_db_std,amplitude_nmse,shape_correlation,gain_abs_error_db
bursty_n16,hold,1,2400,1.4096106856948578,1.4909918329322966,0.0,1.1144855834217895,0.887943398476735,0.5625469056554964
bursty_n16,linear,1,2400,9372.915858004277,39.71874718320572,0.0,9362.705411624453,0.8899890215462036,1.4764530499579451
bursty_n16,kalman,1,2400,6743.121777577466,38.2886100289959,0.0,6734.759087042584,0.8964749492600765,1.3346613338768627
bursty_n16,cru,1,2400,109.77561286857973,20.40505870414998,0.0,108.38045527785162,0.5448432027265477,6.112264708778806
bursty_n16,latent_ode,1,2400,29.981287555036445,14.768502798144711,0.0,29.231113190889978,0.4069509770929202,7.529977760826101
bursty_n16,neural_flow,1,2400,8.872712884445985,9.480564282429075,0.0,8.367203964119156,0.1309403665360016,15.951414123078187
bursty_n16,tpatchgnn,1,2400,43.2496395398428,16.359824922283575,0.0,42.617529266700146,0.03637324688175705,19.854320416698855
bursty_n16,harmonic,1,2400,9096.654883718684,39.58881718406525,0.0,9086.567733730448,0.8692997248635883,1.4493503949100885
bursty_n32,hold,1,2400,1.409610780165464,1.4909921239918211,0.0,1.1144856228621622,0.887943399753035,0.5625469193359337
bursty_n32,linear,1,2400,8023.213064312817,39.043483254726794,0.0,8013.9016714831305,0.8927969050604565,1.6081877160715492
bursty_n32,kalman,1,2400,5726.394344238459,37.57881252108509,0.0,5719.093892267725,0.8969580725704861,1.4520206697913591
bursty_n32,cru,1,2400,91.95827580195541,19.635908197447357,0.0,90.68739846678062,0.5447975674999828,6.0664584225189175
bursty_n32,latent_ode,1,2400,35.53526795250985,15.506595945739353,0.0,34.74136386430667,0.40303412307754294,7.299524983544834
bursty_n32,neural_flow,1,2400,6.625278671917816,8.212041502512374,0.0,6.155908961792787,0.12775546786332767,15.678269600868225
bursty_n32,tpatchgnn,1,2400,34.15562157330414,15.334621931520067,0.0,33.60109273731709,0.03641623891853667,19.863101677050192
bursty_n32,harmonic,1,2400,7504.333631879489,38.753121339082284,0.0,7495.255392343978,0.8605934442577211,1.467026475298541
bursty_n4,hold,1,2400,1.4096106894133769,1.4909918443888803,0.0,1.1144856348611782,0.8879433978196198,0.5625468964299337
bursty_n4,linear,1,2400,11687.944979965227,40.67738158525681,0.0,11676.669076375409,0.8931701825121898,1.2787786607409195
bursty_n4,kalman,1,2400,8509.00236026511,39.298786441233446,0.0,8499.540039876912,0.8953181403402959,1.1874211847616924
bursty_n4,cru,1,2400,111.98030996837343,20.491416653144196,0.0,110.55600910707997,0.5458236628287654,6.0944265258547485
bursty_n4,latent_ode,1,2400,37.347769674075145,15.722646718230829,0.0,36.49911495522596,0.4089490261834006,7.873733700571223
bursty_n4,neural_flow,1,2400,29.244613233829536,14.660458821013126,0.0,28.481949041175344,0.12168757431471912,16.731884790460267
bursty_n4,tpatchgnn,1,2400,66.39469231178363,18.221333626234678,0.0,65.58626980282367,0.03633801826163146,19.79127965827783
bursty_n4,harmonic,1,2400,36937.54091629234,45.67467979300393,0.0,36915.234659616515,0.7689108868935863,1.8182447224793576
bursty_n8,hold,1,2400,1.409610690991902,1.4909918492522425,0.0,1.1144855717074802,0.8879433980590693,0.562546912792277
bursty_n8,linear,1,2400,11896.397514604005,40.75415467578006,0.0,11884.715994862672,0.8912360395409464,1.3602682355934759
bursty_n8,kalman,1,2400,8280.56818810089,39.180601378103276,0.0,8270.970298955575,0.8951993823546527,1.2596186804106007
bursty_n8,cru,1,2400,116.60355318776176,20.66711784611044,0.0,115.1654148200003,0.5453090287274123,6.105181824922862
bursty_n8,latent_ode,1,2400,32.06202925921107,15.059910061088242,0.0,31.281361913608077,0.4087631539502725,7.722026500469074
bursty_n8,neural_flow,1,2400,13.418577724123994,11.277064860789661,0.0,12.852198215052486,0.13304891508594466,16.231741098041336
bursty_n8,tpatchgnn,1,2400,55.091331439092755,17.410832684645094,0.0,54.36826919697225,0.0363141925370806,19.83645105163256
bursty_n8,harmonic,1,2400,11614.42160701448,40.649975870043974,0.0,11602.842004414953,0.8751207286218899,1.461464495316659
dropout_n16,hold,1,2400,1.4096107385875545,1.4909919958922266,0.0,1.1144856727922832,0.8879434029043758,0.5625469062056496
dropout_n16,linear,1,2400,18759.219333160647,42.73214761209623,0.0,18744.497644696665,0.9041712237190139,1.4758543991610955
dropout_n16,kalman,1,2400,11805.939589664726,40.72100556630188,0.0,11794.27204108482,0.9082058486312735,1.3850419322863634
dropout_n16,cru,1,2400,118.24595319698642,20.727862865405733,0.0,116.77785259224203,0.5463698027245747,6.014783582156136
dropout_n16,latent_ode,1,2400,59.833484999854115,17.769442990501002,0.0,58.79979054741096,0.4068406472151162,7.5613514123476735
