model,auroc,balanced_accuracy,accuracy,los_recall,nlos_recall,brier
centered_linear,0.8037474449239155,0.7520554167612992,0.7399527186761229,0.6554621848739496,0.8486486486486486,0.1998421031268152
raw_linear,0.8036793095616626,0.7376334317510789,0.7304964539007093,0.680672268907563,0.7945945945945946,0.1974161885715746
image_local_linear,0.8016806722689076,0.7370315693845106,0.7304964539007093,0.6848739495798319,0.7891891891891892,0.1977526730612646
causal_linear,0.8126277538042244,0.7580399727458551,0.7541371158392435,0.726890756302521,0.7891891891891892,0.19298656310635948
image_local_neural,0.6245287304110834,0.5,0.4373522458628842,0.0,1.0,0.2547796070575714
causal_neural,0.526481944129003,0.5,0.4373522458628842,0.0,1.0,0.25088825821876526
