model,auroc,balanced_accuracy,accuracy,within_route_shuffled_auroc
frozen,0.5828030390682247,0.5,0.5620915032679739,0.5037124455243164
finetuned,0.6871842338694126,0.5096899224806202,0.44880174291938996,0.5093091711982721
centered_linear,0.8208183886767711,0.7600948744648849,0.7494553376906318,0.5533746962860119
