route,time_s,mean_abs_H_squared_db,los
site_00_route_00,0.24,-69.65777763797645,0
site_00_route_00,0.242,-69.65409203640202,0
site_00_route_00,0.244,-69.64969254518374,0
site_00_route_00,0.246,-69.64638677710978,0
site_00_route_00,0.248,-69.64174667242163,0
site_00_route_00,0.25,-69.71193284713236,0
site_00_route_00,0.252,-71.6401237637412,0
site_00_route_00,0.254,-69.70835226996506,0
site_00_route_00,0.256,-69.6926838066486,0
site_00_route_00,0.258,-69.69078986652265,0
site_00_route_00,0.26,-69.68800122086618,0
site_00_route_00,0.262,-69.66748260918781,0
site_00_route_00,0.264,-69.66657987981131,0
site_00_route_00,0.266,-69.66518939507432,0
site_00_route_00,0.268,-69.66404280208886,0
site_00_route_00,0.27,-69.66132182648178,0
site_00_route_00,0.272,-69.65899842425313,0
site_00_route_00,0.274,-69.65727965696439,0
site_00_route_00,0.276,-69.65416566156021,0
site_00_route_00,0.278,-69.65095661668047,0
site_00_route_00,0.28,-69.64851362201321,0
site_00_route_00,0.282,-69.64490295969314,0
site_00_route_00,0.284,-69.64235905036399,0
site_00_route_00,0.286,-69.63778817662754,0
site_00_route_00,0.288,-69.63438257581275,0
site_00_route_00,0.29,-69.6303530649436,0
site_00_route_00,0.292,-69.62776558153064,0
site_00_route_00,0.294,-69.62529713870806,0
site_00_route_00,0.296,-69.62325323744147,0
site_00_route_00,0.298,-69.62166348068342,0
site_00_route_00,0.3,-69.62000789868122,0
site_00_route_00,0.302,-69.61947103384863,0
site_00_route_00,0.304,-69.61838487303388,0
site_00_route_00,0.306,-69.61801574690082,0
site_00_route_00,0.308,-69.61682262443308,0
site_00_route_00,0.31,-69.6161513349897,0
site_00_route_00,0.312,-69.61522746986066,0
site_00_route_00,0.314,-69.61311917165611,0
site_00_route_00,0.316,-71.52082860795647,0
site_00_route_00,0.318,-69.61009619739811,0
site_00_route_00,0.32,-69.60296944489613,0
site_00_route_00,0.322,-69.60042517706776,0
site_00_route_00,0.324,-69.5974476544408,0
site_00_route_00,0.326,-69.59406216155456,0
site_00_route_00,0.328,-69.59062642902025,0
site_00_route_00,0.33,-69.58750170742717,0
site_00_route_00,0.332,-69.58357629270756,0
site_00_route_00,0.334,-69.58615475064391,0
site_00_route_00,0.336,-69.58321537101178,0
site_00_route_00,0.338,-69.58067235459256,0
site_00_route_00,0.34,-69.57865900718045,0
site_00_route_00,0.342,-69.575465515386,0
site_00_route_00,0.344,-69.57420191027778,0
site_00_route_00,0.346,-69.57344032452862,0
site_00_route_00,0.348,-69.57335128739176,0
site_00_route_00,0.35,-69.57363862218855,0
site_00_route_00,0.352,-69.57372182208748,0
site_00_route_00,0.354,-69.57482162483328,0
site_00_route_00,0.356,-69.57562862379108,0
site_00_route_00,0.358,-69.57700255583349,0
site_00_route_00,0.36,-69.57757345012111,0
site_00_route_00,0.362,-69.57702800244537,0
site_00_route_00,0.364,-69.5768467608415,0
site_00_route_00,0.366,-69.57623144819917,0
site_00_route_00,0.368,-69.575280358265,0
site_00_route_00,0.37,-69.57350205113823,0
site_00_route_00,0.372,-69.57178663083343,0
site_00_route_00,0.374,-69.56951504162063,0
site_00_route_00,0.376,-69.56720775596449,0
site_00_route_00,0.378,-69.56494065176537,0
site_00_route_00,0.38,-71.46983305156358,0
site_00_route_00,0.382,-69.56120385278336,0
site_00_route_00,0.384,-69.55916296772085,0
site_00_route_00,0.386,-69.55781498535868,0
site_00_route_00,0.388,-69.55639941822244,0
site_00_route_00,0.39,-69.55514199139499,0
site_00_route_00,0.392,-69.55463504522521,0
site_00_route_00,0.394,-69.56102686908751,0
site_00_route_00,0.396,-69.56142184814797,0
site_00_route_00,0.398,-69.56292566675982,0
site_00_route_00,0.4,-69.56401922793141,0
site_00_route_00,0.402,-69.56489924122481,0
site_00_route_00,0.404,-69.56575904355,0
site_00_route_00,0.406,-69.56634581947188,0
site_00_route_00,0.408,-69.56694903306166,0
site_00_route_00,0.41,-69.56655158575616,0
site_00_route_00,0.412,-69.56452871280044,0
site_00_route_00,0.414,-69.56266577843577,0
site_00_route_00,0.416,-69.56035797155938,0
