sample_id,traj_id,query_s,difference_over_target_energy,difference_over_refined_prediction_energy,coarse_full_csi_nmse,refined_full_csi_nmse
cruise_008:0:696,cruise_008,0.009999999776482582,8.118351148248025e-14,3.810737862672702e-13,0.7322694063186646,0.7322694063186646
cruise_008:0:696,cruise_008,0.019999999552965164,5.77889598980139e-14,2.728281542172723e-13,0.7341410517692566,0.7341410517692566
cruise_008:0:696,cruise_008,0.05000000074505806,5.861215909892921e-14,2.92638090275115e-13,0.7489128112792969,0.7489128112792969
cruise_008:0:696,cruise_008,0.10000000149011612,9.556295292553466e-14,4.881366357046652e-13,0.7552837133407593,0.7552837133407593
cruise_008:0:696,cruise_008,0.20000000298023224,5.551759739102893e-14,2.957468342402464e-13,0.7706806659698486,0.7706806659698486
cruise_008:0:696,cruise_008,0.5,5.694705084945437e-14,3.606988115094572e-13,0.8347105383872986,0.8347105383872986
cruise_011:0:3104,cruise_011,0.009999999776482582,1.882692605206221e-12,5.6231895887437175e-12,0.5543441772460938,0.5543441772460938
cruise_011:0:3104,cruise_011,0.019999999552965164,1.917665636182105e-12,5.671812583910565e-12,0.5458071827888489,0.5458073019981384
cruise_011:0:3104,cruise_011,0.05000000074505806,1.8762293110754827e-12,5.455068357553128e-12,0.5479305386543274,0.5479305386543274
cruise_011:0:3104,cruise_011,0.10000000149011612,1.925435549838576e-12,5.4434076009835965e-12,0.5574522018432617,0.5574522614479065
cruise_011:0:3104,cruise_011,0.20000000298023224,1.966414793162288e-12,5.246815980908666e-12,0.5755168795585632,0.5755168795585632
cruise_011:0:3104,cruise_011,0.5,2.288321382894005e-12,4.889746469645417e-12,0.6812071800231934,0.6812072992324829
cruise_016:0:1663,cruise_016,0.009999999776482582,1.202261244965422e-13,2.815314832175884e-13,0.35815954208374023,0.35815948247909546
cruise_016:0:1663,cruise_016,0.019999999552965164,1.0727698839837609e-13,2.535875172793292e-13,0.3693011403083801,0.36930108070373535
cruise_016:0:1663,cruise_016,0.05000000074505806,9.808470076002958e-14,2.321525297113422e-13,0.3746294379234314,0.3746294379234314
cruise_016:0:1663,cruise_016,0.10000000149011612,1.4742674374954476e-13,3.353225001216249e-13,0.3696545362472534,0.36965447664260864
cruise_016:0:1663,cruise_016,0.20000000298023224,1.1745162252526337e-13,2.659349608960318e-13,0.40412458777427673,0.40412458777427673
cruise_016:0:1663,cruise_016,0.5,9.829742926464715e-14,2.0602379716775967e-13,0.5010941624641418,0.5010941624641418
highspeed_005:0:3190,highspeed_005,0.009999999776482582,8.163545754691519e-14,3.1060343625806205e-13,0.734168291091919,0.7341681122779846
highspeed_005:0:3190,highspeed_005,0.019999999552965164,8.061850158219405e-14,2.9963280034434317e-13,0.7314406633377075,0.7314406633377075
highspeed_005:0:3190,highspeed_005,0.05000000074505806,9.199022325795876e-14,3.381415701248426e-13,0.7378732562065125,0.7378732562065125
highspeed_005:0:3190,highspeed_005,0.10000000149011612,8.61842318662464e-14,3.028217952132194e-13,0.7450284361839294,0.7450284361839294
highspeed_005:0:3190,highspeed_005,0.20000000298023224,1.269402060501529e-13,4.0863376076968593e-13,0.7623248100280762,0.7623248100280762
highspeed_005:0:3190,highspeed_005,0.5,1.5760668761602142e-13,3.8783816843827665e-13,0.8686721324920654,0.868672251701355
highspeed_007:0:1626,highspeed_007,0.009999999776482582,2.0033065895111552e-13,3.4552318039546714e-13,0.14935171604156494,0.14935174584388733
highspeed_007:0:1626,highspeed_007,0.019999999552965164,1.3760119273843722e-13,2.373732484841981e-13,0.1514761745929718,0.151476189494133
highspeed_007:0:1626,highspeed_007,0.05000000074505806,1.3886559647320093e-13,2.3889287866996097e-13,0.15802067518234253,0.15802067518234253
