figure,group,metric,model,x,nmse_linear,nmse_db,seeds
prediction,query_s,nmse_linear,hold,9.999999776482582,0.17371637662748676,-7.601592377204661,1
prediction,query_s,nmse_linear,hold,19.999999552965164,0.18506253581243073,-7.326814912239938,1
prediction,query_s,nmse_linear,hold,50.00000074505806,0.2222296927479086,-6.531979141843709,1
prediction,query_s,nmse_linear,hold,100.00000149011612,5.46843085189561,7.378627248477283,1
prediction,query_s,nmse_linear,hold,200.00000298023224,102.45791470120065,20.105455125497148,1
prediction,query_s,nmse_linear,hold,500.0,7624.592658819141,38.82216646608648,1
prediction,query_s,nmse_linear,linear,9.999999776482582,60.83266480602159,17.84136841371716,1
prediction,query_s,nmse_linear,linear,19.999999552965164,73.80356970812986,18.680773681516307,1
prediction,query_s,nmse_linear,linear,50.00000074505806,1147.4991968503368,30.5975239024103,1
prediction,query_s,nmse_linear,linear,100.00000149011612,2104.410318025889,33.23130422497257,1
prediction,query_s,nmse_linear,linear,200.00000298023224,4950.998276129142,36.94692775116026,1
prediction,query_s,nmse_linear,linear,500.0,34084.771859592336,45.32560391470702,1
prediction,query_s,nmse_linear,kalman,9.999999776482582,31.555670742615057,14.990774159074213,1
prediction,query_s,nmse_linear,kalman,19.999999552965164,38.248599730305266,15.826155403907299,1
prediction,query_s,nmse_linear,kalman,50.00000074505806,592.7520768953278,27.728730843416646,1
prediction,query_s,nmse_linear,kalman,100.00000149011612,1087.4489497516818,30.364088781677868,1
prediction,query_s,nmse_linear,kalman,200.00000298023224,2575.2740303026394,34.10823448334986,1
prediction,query_s,nmse_linear,kalman,500.0,22542.80960822403,43.53008043090106,1
prediction,query_s,nmse_linear,harmonic,9.999999776482582,61.63347097915694,17.898166263490005,1
prediction,query_s,nmse_linear,harmonic,19.999999552965164,74.14429513527693,18.70077740845411,1
prediction,query_s,nmse_linear,harmonic,50.00000074505806,1150.783347765422,30.609935688718224,1
prediction,query_s,nmse_linear,harmonic,100.00000149011612,2111.0071753418033,33.24489709482955,1
prediction,query_s,nmse_linear,harmonic,200.00000298023224,5111.975584311674,37.08588770888991,1
prediction,query_s,nmse_linear,harmonic,500.0,31214.39680384945,44.943549469145665,1
prediction,query_s,nmse_linear,cru,9.999999776482582,5.038384973732236,7.022913480727749,3
prediction,query_s,nmse_linear,cru,19.999999552965164,5.045949611771956,7.029429093922862,3
prediction,query_s,nmse_linear,cru,50.00000074505806,44.49812553844208,16.483417169257176,3
prediction,query_s,nmse_linear,cru,100.00000149011612,45.331805378415936,16.56403015557045,3
prediction,query_s,nmse_linear,cru,200.00000298023224,57.66943609009031,17.6094570476343,3
prediction,query_s,nmse_linear,cru,500.0,539.0350427227105,27.316169996327563,3
prediction,query_s,nmse_linear,latent_ode,9.999999776482582,2.583665889433275,4.122363515222981,3
prediction,query_s,nmse_linear,latent_ode,19.999999552965164,2.5322797616157264,4.035116840523562,3
prediction,query_s,nmse_linear,latent_ode,50.00000074505806,17.729841831251978,12.487048612568188,3
prediction,query_s,nmse_linear,latent_ode,100.00000149011612,15.679664959998595,11.953367785283692,3
prediction,query_s,nmse_linear,latent_ode,200.00000298023224,18.141640147868955,12.586765481578649,3
prediction,query_s,nmse_linear,latent_ode,500.0,277.22653833743806,24.428348020647203,3
prediction,query_s,nmse_linear,neural_flow,9.999999776482582,1.4334273057679336,1.5637567321248529,3
prediction,query_s,nmse_linear,neural_flow,19.999999552965164,1.4276788149029016,1.5463051514002744,3
prediction,query_s,nmse_linear,neural_flow,50.00000074505806,5.694596957398786,7.554629917387632,3
prediction,query_s,nmse_linear,neural_flow,100.00000149011612,5.331521840807464,7.268511926528076,3
prediction,query_s,nmse_linear,neural_flow,200.00000298023224,6.242772835261293,7.953775319219256,3
prediction,query_s,nmse_linear,neural_flow,500.0,50.81685017948349,17.060077423345046,3
prediction,query_s,nmse_linear,tpatchgnn,9.999999776482582,3.39904115548435,5.313564230389427,3
prediction,query_s,nmse_linear,tpatchgnn,19.999999552965164,3.3634877907929734,5.267898555654647,3
prediction,query_s,nmse_linear,tpatchgnn,50.00000074505806,27.016560362460893,14.316300556152427,3
prediction,query_s,nmse_linear,tpatchgnn,100.00000149011612,26.123054918359657,14.17023963437908,3
prediction,query_s,nmse_linear,tpatchgnn,200.00000298023224,45.13479798441856,16.54511502972817,3
prediction,query_s,nmse_linear,tpatchgnn,500.0,1435.9731775062537,31.571463278103078,3
prediction,query_s,amplitude_nmse,hold,9.999999776482582,0.032175881885978905,-14.924695409903014,1
prediction,query_s,amplitude_nmse,hold,19.999999552965164,0.031404381806892916,-15.03009751232926,1
prediction,query_s,amplitude_nmse,hold,50.00000074505806,0.04840373934892,-13.151210863747735,1
prediction,query_s,amplitude_nmse,hold,100.00000149011612,5.087331681192653,7.064900534591231,1
prediction,query_s,amplitude_nmse,hold,200.00000298023224,101.39886054104345,20.06033074686492,1
prediction,query_s,amplitude_nmse,hold,500.0,7615.596176516001,38.81703907151566,1
prediction,query_s,amplitude_nmse,linear,9.999999776482582,60.12771194945842,17.7907467787459,1
prediction,query_s,amplitude_nmse,linear,19.999999552965164,73.02502055578316,18.634716878949806,1
prediction,query_s,amplitude_nmse,linear,50.00000074505806,1144.6693869834378,30.586800682110816,1
prediction,query_s,amplitude_nmse,linear,100.00000149011612,2100.361284615562,33.22294004457531,1
prediction,query_s,amplitude_nmse,linear,200.00000298023224,4944.222041256194,36.94097966354012,1
prediction,query_s,amplitude_nmse,linear,500.0,34062.315631144615,45.322741689244026,1
prediction,query_s,amplitude_nmse,kalman,9.999999776482582,31.032236048528613,14.918130700910833,1
prediction,query_s,amplitude_nmse,kalman,19.999999552965164,37.66926270963752,15.759871199571947,1
prediction,query_s,amplitude_nmse,kalman,50.00000074505806,590.7043200838992,27.713701470584546,1
prediction,query_s,amplitude_nmse,kalman,100.00000149011612,1084.4995548748939,30.352293780971763,1
prediction,query_s,amplitude_nmse,kalman,200.00000298023224,2570.2892856264334,34.09982005853038,1
prediction,query_s,amplitude_nmse,kalman,500.0,22524.237459676246,43.52650097202245,1
prediction,query_s,amplitude_nmse,harmonic,9.999999776482582,60.74348907238023,17.834997339332887,1
prediction,query_s,amplitude_nmse,harmonic,19.999999552965164,73.30720832813034,18.651466810969563,1
prediction,query_s,amplitude_nmse,harmonic,50.00000074505806,1147.7818645848993,30.598593584376623,1
prediction,query_s,amplitude_nmse,harmonic,100.00000149011612,2106.8491746231234,33.236334463943095,1
prediction,query_s,amplitude_nmse,harmonic,200.00000298023224,5104.722916319364,37.079721736159996,1
prediction,query_s,amplitude_nmse,harmonic,500.0,31192.2895128251,44.94047253125007,1
prediction,query_s,amplitude_nmse,cru,9.999999776482582,4.704681857540531,6.7253026066739485,3
prediction,query_s,amplitude_nmse,cru,19.999999552965164,4.714596168144813,6.734444988851525,3
prediction,query_s,amplitude_nmse,cru,50.00000074505806,43.87026509161857,16.421702586921416,3
prediction,query_s,amplitude_nmse,cru,100.00000149011612,44.64629518323707,16.49785426310061,3
prediction,query_s,amplitude_nmse,cru,200.00000298023224,56.77464222333342,17.54154406107596,3
prediction,query_s,amplitude_nmse,cru,500.0,536.2578838903928,27.293736900970693,3
prediction,query_s,amplitude_nmse,latent_ode,9.999999776482582,2.292583311137019,3.6032512663635394,3
prediction,query_s,amplitude_nmse,latent_ode,19.999999552965164,2.2427319504455148,3.507773701505674,3
prediction,query_s,amplitude_nmse,latent_ode,50.00000074505806,17.28472853465316,12.376625631189253,3
prediction,query_s,amplitude_nmse,latent_ode,100.00000149011612,15.206680024028238,11.820344077000911,3
prediction,query_s,amplitude_nmse,latent_ode,200.00000298023224,17.56265438743867,12.445901550039158,3
prediction,query_s,amplitude_nmse,latent_ode,500.0,275.3499136281676,24.39884944587717,3
prediction,query_s,amplitude_nmse,neural_flow,9.999999776482582,1.1963811019435524,0.7786954429036125,3
prediction,query_s,amplitude_nmse,neural_flow,19.999999552965164,1.1912549921083782,0.7600473361748793,3
prediction,query_s,amplitude_nmse,neural_flow,50.00000074505806,5.369549527809852,7.299378525910644,3
prediction,query_s,amplitude_nmse,neural_flow,100.00000149011612,4.997052090056241,6.987138766201087,3
prediction,query_s,amplitude_nmse,neural_flow,200.00000298023224,5.8703253653562735,7.686621728767169,3
prediction,query_s,amplitude_nmse,neural_flow,500.0,50.039413333079885,16.99312209340733,3
prediction,query_s,amplitude_nmse,tpatchgnn,9.999999776482582,3.217769467454895,5.075549264632608,3
prediction,query_s,amplitude_nmse,tpatchgnn,19.999999552965164,3.182515287943501,5.02770498564045,3
prediction,query_s,amplitude_nmse,tpatchgnn,50.00000074505806,26.623860495124404,14.252710289812578,3
prediction,query_s,amplitude_nmse,tpatchgnn,100.00000149011612,25.670319858654334,14.094312801238438,3
prediction,query_s,amplitude_nmse,tpatchgnn,200.00000298023224,44.411127312777715,16.474917972562018,3
prediction,query_s,amplitude_nmse,tpatchgnn,500.0,1432.524658524226,31.56102106359381,3
scenario,scenario,nmse_linear,hold,climb_descent,0.07061980449128992,-11.510734891018863,1
scenario,scenario,nmse_linear,hold,cruise,0.05807402174008406,-12.36018097179241,1
scenario,scenario,nmse_linear,hold,highspeed,0.16803761607089182,-7.745934883730419,1
scenario,scenario,nmse_linear,hold,occlusion,7810.7022558114995,38.92690082803402,1
scenario,scenario,nmse_linear,hold,sweep_turn,0.08714519085197403,-10.597565746363642,1
scenario,scenario,nmse_linear,hold,uturn,0.11944577590517928,-9.228292040849619,1
scenario,scenario,nmse_linear,linear,climb_descent,0.058685204506105426,-12.314713776499435,1
scenario,scenario,nmse_linear,linear,cruise,0.039326944149778484,-14.05309798580063,1
scenario,scenario,nmse_linear,linear,highspeed,0.3022927560826369,-5.19572259805418,1
scenario,scenario,nmse_linear,linear,occlusion,42850.19152343821,46.31952767388423,1
scenario,scenario,nmse_linear,linear,sweep_turn,0.08580220124974011,-10.665015702124556,1
scenario,scenario,nmse_linear,linear,uturn,0.1379298951040581,-8.603415940734587,1
scenario,scenario,nmse_linear,kalman,climb_descent,0.055709781228104695,-12.540685470083993,1
scenario,scenario,nmse_linear,kalman,cruise,0.03744999184131767,-14.265482725778952,1
scenario,scenario,nmse_linear,kalman,highspeed,0.2680390314939899,-5.718019599704752,1
scenario,scenario,nmse_linear,kalman,occlusion,27138.908877409776,44.33592382820923,1
scenario,scenario,nmse_linear,kalman,sweep_turn,0.0795394477951339,-10.99417428441297,1
scenario,scenario,nmse_linear,kalman,uturn,0.12640867068386516,-8.982231356975653,1
scenario,scenario,nmse_linear,harmonic,climb_descent,0.24130906651260722,-6.174263603853562,1
scenario,scenario,nmse_linear,harmonic,cruise,0.17288350161977978,-7.62246449741501,1
scenario,scenario,nmse_linear,harmonic,highspeed,0.9520901682116351,-0.21321919575206114,1
scenario,scenario,nmse_linear,harmonic,occlusion,40122.65545932165,46.033896684452486,1
scenario,scenario,nmse_linear,harmonic,sweep_turn,0.46509455223713303,-3.324587474530248,1
scenario,scenario,nmse_linear,harmonic,uturn,0.6715006122970862,-1.7295358699061267,1
scenario,scenario,nmse_linear,cru,climb_descent,0.3038686644019377,-5.173140830032753,3
scenario,scenario,nmse_linear,cru,cruise,0.21977955773380115,-6.580127048892168,3
scenario,scenario,nmse_linear,cru,highspeed,0.607980174254451,-2.1611058249087707,3
scenario,scenario,nmse_linear,cru,occlusion,701.3983609496047,28.459647466732655,3
scenario,scenario,nmse_linear,cru,sweep_turn,0.6389688015398052,-1.9452034630150974,3
scenario,scenario,nmse_linear,cru,uturn,0.457188876717459,-3.3990434441628676,3
scenario,scenario,nmse_linear,latent_ode,climb_descent,0.44578058670842485,-3.5087884852735263,3
