epoch,train_loss,val_nmse,val_nmse_db,best_nmse_db,elapsed_s,total_elapsed_s,lr
0,2.4560810894966125,0.9005220802459452,-0.4550563408108321,-0.4550563408108321,42.351029238663614,42.351029238663614,0.00029955301339130357
1,1.1634043941497803,0.6794150471739057,-1.6786483893165194,-1.6786483893165194,41.75832144077867,84.10935067944229,0.00029821480938629495
2,2.602666569550832,0.5827686485968944,-2.3450382016149747,-2.3450382016149747,41.68813549820334,125.79748617764562,0.0002959936384576631
3,1.491049912929535,0.5305605212640431,-2.75265068780853,-2.75265068780853,41.61542269960046,167.41290887724608,0.00029290319486279724
4,0.8795989170074463,0.5143773655319173,-2.887181501943793,-2.887181501943793,41.88294988684356,209.29585876408964,0.00028896253221413656
5,1.059762829065323,0.507188222251522,-2.948308400446247,-2.948308400446247,41.63570598792285,250.9315647520125,0.00028419594600731334
6,0.5477903274695078,0.49905203046328905,-3.0185417308379554,-3.0185417308379554,41.94632636848837,292.87789112050086,0.0002786328238313434
7,0.6827722402413686,0.4972500718369459,-3.034251454616727,-3.034251454616727,41.65791508555412,334.535806206055,0.0002723074641843674
8,0.7030460189183553,0.4912508561053417,-3.0869667976867596,-3.0869667976867596,41.760161832906306,376.2959680389613,0.0002652588650120045
9,0.881161740620931,0.48952528287397906,-3.1022487295359253,-3.1022487295359253,41.93577523436397,418.23174327332526,0.0002575304832720494
10,1.3855735305945078,0.488862573892499,-3.1081320997308826,-3.1081320997308826,41.25630837865174,459.488051651977,0.00024916996700787665
11,0.6944735923608144,0.48734473030807246,-3.12163725629907,-3.12163725629907,41.44182257819921,500.9298742301762,0.0002402288615824086
12,0.48548499671618145,0.48383609922654514,-3.15301731860838,-3.15301731860838,41.75072182063013,542.6805960508063,0.00023076229188381255
13,0.7897609628041585,0.4868148620918186,-3.1263617155549057,-3.15301731860838,41.61202044971287,584.2926165005192,0.00022082862246223427
14,0.9991155310471853,0.48268349083606155,-3.1633755504791767,-3.1633755504791767,41.55676200054586,625.8493785010651,0.00021048909769293803
15,1.025915819088618,0.4812651025850533,-3.176156286700684,-3.176156286700684,41.63647027499974,667.4858487760648,0.0001998074641843674
16,0.8706110419432322,0.4801129108310367,-3.1865661515709047,-3.1865661515709047,41.81788355484605,709.3037323309109,0.00018884957775910634
17,1.068816664616267,0.48068915171083065,-3.1813567900571407,-3.1865661515709047,41.462999447248876,750.7667317781597,0.0001776829974308335
18,0.983323473850886,0.4783895720370735,-3.2021829569212823,-3.2021829569212823,41.498918627388775,792.2656504055485,0.00016637656888053755
19,1.8776540699005126,0.4754043762618676,-3.229368247583799,-3.229368247583799,41.673646033741534,833.93929643929,0.00015500000000000003
20,0.768605476697286,0.47518063054937454,-3.2314127050364934,-3.2314127050364934,41.86536136455834,875.8046578038484,0.00014362343111946253
21,1.2164905531406403,0.47351255897639527,-3.2466849771284285,-3.2466849771284285,41.68546765297651,917.4901254568249,0.0001323170025691666
22,0.6646937050024668,0.47362232127330367,-3.2456783800517974,-3.2466849771284285,41.442302570678294,958.9324280275032,0.00012115042224089376
23,2.8575291362603505,0.47423613829383005,-3.2400535448353884,-3.2466849771284285,41.61903668474406,1000.5514647122473,0.00011019253581563266
24,1.9288480989138286,0.4740471033301825,-3.2417850284066003,-3.2466849771284285,42.14030545204878,1042.691770164296,9.951090230706201e-05
25,1.4423356529076894,0.47139664759859445,-3.2661351034501824,-3.2661351034501824,41.752215487882495,1084.4439856521785,8.917137753776573e-05
26,1.0439146829446158,0.47105981391958063,-3.269239438139719,-3.269239438139719,41.26244474109262,1125.7064303932711,7.923770811618743e-05
27,1.8810650458335876,0.46892144554035947,-3.288999048878056,-3.288999048878056,41.419810133986175,1167.1262405272573,6.977113841759143e-05
28,0.968190016190211,0.4676715726265684,-3.3005902783926038,-3.3005902783926038,41.856762825511396,1208.9830033527687,6.08300329921234e-05
29,4.8221587574481966,0.46829047943620633,-3.29484671537481,-3.3005902783926038,41.99256713781506,1250.9755704905838,5.246951672795063e-05
30,0.8458342108726501,0.4687027481953717,-3.2910250002665125,-3.3005902783926038,41.345854729413986,1292.3214252199978,4.4741134987995524e-05
31,1.9583084020614625,0.46749457250607923,-3.302234268114488,-3.302234268114488,41.60201211832464,1333.9234373383224,3.7692535815632644e-05
32,0.5062881678740183,0.46731700855721203,-3.3038841202487044,-3.3038841202487044,41.87761068623513,1375.8010480245575,3.136717616865664e-05
33,3.176306538820267,0.46694537479119996,-3.3073392203417273,-3.3073392203417273,41.795725986361504,1417.596774010919,2.5804053992686677e-05
34,1.877387597799301,0.4670610235445201,-3.3062637327272504,-3.3073392203417273,41.86059610545635,1459.4573701163754,2.103746778586343e-05
35,2.113665397802989,0.4667356132058841,-3.3092905999183007,-3.3092905999183007,42.16261429991573,1501.6199844162911,1.709680513720274e-05
36,2.282553682088852,0.46669363633263855,-3.3096812095855976,-3.3096812095855976,41.848917530849576,1543.4689019471407,1.4006361542336902e-05
37,1.7562690231005351,0.4665413166054835,-3.3110988936825687,-3.3110988936825687,41.604921666905284,1585.073823614046,1.1785190613705041e-05
38,1.0218528149127961,0.4667194004750086,-3.309441460955058,-3.3110988936825687,41.55777819175273,1626.6316018057987,1.0446986608696446e-05
39,1.2153371521631877,0.46632780546581165,-3.313086883406091,-3.313086883406091,41.72618314065039,1668.357784946449,1e-05
