run,targets,mean_nmse_db,energy_weighted_nmse_db,median_nmse_db,p90_nmse_db,p99_nmse_db,maximum_nmse_db,fraction_nmse_below_1,mean_shape_correlation,gain_mae_db,top1_target_contribution,top01pct_contribution,top1pct_contribution,top_route,top_route_contribution,saved_best_val_nmse_db,epochs
cru_seed17,7200,18.58550084648265,-2.4325196171919377,-4.335492380946048,0.020395013711176198,0.8887486129094696,51.78356790225073,0.8826388888888889,0.5303066994985541,6.183434848445783,0.2900508945007135,0.8063030693301774,0.9932805832001459,occlusion_011,0.9905778384120036,-3.3089461510836577,40
cru_seed29,7200,22.030815097438122,-2.4588419959207455,-4.551454463851266,0.017076593989616074,0.9255475194487138,57.004486456442564,0.8854166666666666,0.5344465285283732,6.136346280472761,0.43655065027349743,0.9378818680930425,0.9969870163904996,occlusion_011,0.9939277417117292,-3.381965250700956,40
cru_seed43,7200,20.662862599751882,-2.5614436554112556,-5.215744394750114,0.02952620422142234,1.03339664641122,55.25850380626966,0.87875,0.5515804327945526,5.720997956306512,0.400158110976557,0.9240153023790477,0.9960240757590063,occlusion_011,0.9919812790446191,-3.475337560968104,40
harmonic,7200,38.20901074272328,-1.4216727519020202,-12.218008729212638,0.289672755324678,12.477191882857825,71.68393169607907,0.8941666666666667,0.8559903475458734,1.494234066668988,0.30914312940572114,0.9214386657432936,0.9999368018826353,occlusion_011,0.9989961984133987,,0
hold,7200,31.102023766059066,-8.415289315287623,-13.44203232558356,-2.255519407893041,6.048575657627411,67.69600989218473,0.9244444444444444,0.8865495044488034,0.5818744998495954,0.6339662177444255,0.9981601830918279,0.9998193486485606,occlusion_011,0.9975020559147344,,0
kalman,7200,36.51085526796854,-7.061239468203637,-14.72446720441799,-1.0691096168933547,8.540042245848543,70.09863491976274,0.9140277777777778,0.9026282024559817,1.2466807838823868,0.3172820250478121,0.9319493151637037,0.9999449726917449,occlusion_011,0.9988965411497402,,0
latent_ode_seed17,7200,17.643202705867132,-1.6900682507533515,-2.1426866236803797,0.019440430120210205,0.4796548494325713,52.181183894905075,0.8681944444444445,0.38495229007662185,7.806857233051689,0.3948804404887971,0.9469320087768249,0.9892203406876715,occlusion_011,0.9883466110604908,-2.235430690491325,40
latent_ode_seed29,7200,17.13749289574042,-1.9181227970622248,-2.597556866975105,0.0007311135180708758,0.5862491203270686,51.54966787170249,0.8994444444444445,0.4319225451098244,7.308745116513714,0.38360565533527213,0.9472355539174737,0.9888455813274304,occlusion_011,0.9880647041642484,-2.616393032569503,40
latent_ode_seed43,7200,17.566111460530664,-1.9097379190970414,-2.4158012868871377,-0.0029149096817852136,0.5378345187885016,52.33504592716954,0.9029166666666667,0.4182072085514863,7.48890714466339,0.4164481625490259,0.9602476583994213,0.9896345225208282,occlusion_011,0.9888615151742001,-2.580272471364871,40
linear,7200,38.4944312310079,-6.639643000559437,-14.445164164567494,-0.7442233180222347,8.678954576714883,71.7190981296726,0.9105555555555556,0.8977094786780789,1.3516254562852252,0.29183286143221104,0.9232269525957635,0.9999631037975172,occlusion_011,0.9991564729634163,,0
neural_flow_seed17,7200,7.646119753858133,-0.4019221560137466,-0.23873896699150354,0.005615486899707947,0.14417695599259306,39.58463184893872,0.8797222222222222,0.12690233417783636,16.23105594976702,0.21702947161926525,0.7668028237327135,0.8474324515025052,occlusion_011,0.8529019345581497,-0.6479796224426054,40
neural_flow_seed29,7200,14.078323033282242,-0.3347090116025756,-0.2308056293844007,0.006607438173353192,0.19277201996946686,49.8912159497857,0.8818055555555555,0.11432473398091521,17.61557211256586,0.5296107541712797,0.9191013473142783,0.9646130878426864,occlusion_011,0.9657146164128213,-0.4507647835278233,40
neural_flow_seed43,7200,6.1083141648180135,-0.35310564570745523,-0.1895401988675635,0.021587239883942674,0.31447493240487184,37.63475813632019,0.8286111111111111,0.12086291568098238,16.36377664425307,0.19738397954134748,0.7090755700043431,0.7794872019684446,occlusion_011,0.7880663207001214,-0.5048261918508546,40
tpatchgnn_seed17,7200,15.313250878546302,-0.06347858583748911,-0.09059693210860802,0.049678836615070235,0.26891796460252515,48.264065243650336,0.7309722222222222,0.035173962871104456,19.754948573907217,0.2739989762009624,0.8950239230751944,0.9714115643727447,occlusion_011,0.9711957913860226,-0.0768675624818199,27
tpatchgnn_seed29,7200,25.97357159256871,-8.154244954161223,-11.108654369376222,-2.1073388500331403,1.9585880177051929,62.97866692417182,0.9384722222222223,0.8417646701385578,2.359566718413456,0.6969105463168421,0.9677856234902609,0.9995187433134183,occlusion_011,0.9967516777580366,-6.253131801004979,38
tpatchgnn_seed43,7200,25.325317001400173,-9.342619213241248,-13.190364645147692,-2.3733741808955733,1.9583365961057284,62.001664175608354,0.9386111111111111,0.8647532423922747,2.083247377250433,0.6461036894317945,0.986668182088666,0.9995334405208602,occlusion_011,0.996333617232313,-6.838097451295612,40
