run,group,value,targets,mean_nmse_db,energy_weighted_nmse_db,median_nmse_db,p90_nmse_db,p99_nmse_db,maximum_nmse_db,fraction_nmse_below_1,mean_shape_correlation,gain_mae_db,top1_target_contribution,top01pct_contribution,top1pct_contribution,nmse_contribution
cru_seed17,scenario,climb_descent,1188,-5.093371576758694,-4.95635545936347,-7.935812793273583,-0.898964004324728,0.16777582322839188,0.3533555171776706,0.9722222222222222,0.7003551560363134,2.754811901928816,0.002950232675434362,0.002950232675434362,0.03456164211563494,0.0007072886711070921
cru_seed17,scenario,cruise,1206,-6.621536989801777,-6.2555122362969415,-8.917517683778982,-2.1007129279019887,-0.1928202340415761,-0.11712382624367475,1.0,0.7888977729451301,1.8431150181676823,0.003707609690135881,0.003707609690135881,0.044157039578750175,0.0005050228492092574
cru_seed17,scenario,highspeed,1206,-2.1072443670132053,-1.7463720458377026,-1.7117911735962776,-0.0363864048054843,0.9045947105181701,2.7801336201890074,0.9618573797678275,0.40145422395373204,7.37447203229746,0.0025549975670158083,0.0025549975670158083,0.025328923553213357,0.0014280397291916737
cru_seed17,scenario,occlusion,1188,26.387903861892607,-3.517705984646096,-0.17317559775996316,0.348294810136177,36.00250407343813,51.78356790225073,0.6203703703703703,0.3666338805346215,12.450024577024665,0.2915747845505847,0.2915747845505847,0.9725408894466694,0.9947735876673284
cru_seed17,scenario,sweep_turn,1206,-1.9235650779588442,-0.947645812605999,-0.84661055118222,0.15739513984402928,0.26037044271239196,0.3064693733549902,0.7446102819237148,0.3830717826922349,8.155176955286048,0.0013856582675269076,0.0013856582675269076,0.016519989725190608,0.0014897322478500715
cru_seed17,scenario,uturn,1206,-3.2552388978208944,-2.6678400168297776,-4.799242829487856,-0.2090748909099167,-0.16365106024127424,2.352538556779159,0.9941956882255389,0.5415225395990518,4.565366319135128,0.0030159937530510657,0.0030159937530510657,0.02518512669058016,0.0010963288353135266
cru_seed17,query_s,0.0099999997764825,1200,6.974050250111425,-2.613832605704624,-4.84913162966787,0.01684808676950242,0.35336995916836733,35.37793801059517,0.8891666666666667,0.5402231904240247,5.833667234604169,0.5770421402725768,0.5770421402725768,0.9051778225749708,0.011500154897541892
cru_seed17,query_s,0.0199999995529651,1200,6.968228946758286,-2.6255911224867075,-4.833811218224046,0.00793084166311827,0.48631344069344806,35.36626770373398,0.8925,0.541627178403046,5.860668462843945,0.5762655129182309,0.5762655129182309,0.9052411597557598,0.011484750363106444
cru_seed17,query_s,0.050000000745058,1200,16.371192048484403,-2.6492097524001847,-4.851878383202661,0.01966457486880621,0.5755627340409826,45.151607182995704,0.8841666666666667,0.5433124058954563,5.926812915577126,0.6293036742188962,0.6293036742188962,0.9891633171770045,0.10009626438548135
cru_seed17,query_s,0.1000000014901161,1200,16.365851292735513,-2.649322933218452,-4.838922667916648,0.009592058241491086,0.8043292674523252,45.080358069930355,0.8875,0.5433725729680429,6.108768587832407,0.6198254889542654,0.6198254889542654,0.9891351377770758,0.09997324621477229
