run,traj_id,scenario,targets,mean_nmse_db,energy_weighted_nmse_db,median_nmse_db,p90_nmse_db,p99_nmse_db,maximum_nmse_db,fraction_nmse_below_1,mean_shape_correlation,gain_mae_db,top1_target_contribution,top01pct_contribution,top1pct_contribution,nmse_contribution,target_energy_min,query_los_fraction,transition_fraction
cru_seed17,climb_descent_011,climb_descent,396,-4.661328285146721,-3.6485699072830133,-7.288286776278886,-0.049804343845349916,0.266379766397856,0.3533555171776706,0.9166666666666666,0.668361724994023,2.6900146298987715,0.008012595048139516,0.008012595048139516,0.031736967040266045,0.0002604232631161367,3.011623448401224e-05,0.9722222222222222,0.03282828282828283
cru_seed17,climb_descent_013,climb_descent,396,-6.0752351068282975,-5.710596307790747,-8.664376570858552,-2.4615375427202206,-2.1394836669190096,-2.0648539057547604,1.0,0.7682960019117654,2.397505285227765,0.00635832809601952,0.00635832809601952,0.025277950798631106,0.000188056822664766,0.0001831340341595,1.0,0.0
cru_seed17,climb_descent_014,climb_descent,396,-4.688339259793553,-4.5708515969210834,-7.479247740308052,-0.8801852375141295,-0.7273649202236192,-0.6518431351302,1.0,0.6644077412031516,3.176915790659912,0.006396677072989726,0.006396677072989726,0.025314954215298873,0.00025880858532618945,0.0001145542337326,1.0,0.0
cru_seed17,cruise_010,cruise,402,-9.122255626675232,-9.044712319716904,-9.472460043504041,-7.693005815566334,-6.00712766907741,-5.955796225154658,1.0,0.8802389364633987,0.8078040066939681,0.005157270217611489,0.005157270217611489,0.02056384878111939,9.464940961144488e-05,3.844554521492682e-05,1.0,0.0
cru_seed17,cruise_012,cruise,402,-4.039160281105728,-3.7231491130326604,-5.860099287117192,-0.5256761261555153,-0.13125326769638176,-0.11712382624367475,1.0,0.6128026019244348,3.6818809272786277,0.00613730338684498,0.00613730338684498,0.024518140699969784,0.00030508962836703417,8.689300739206374e-05,1.0,0.0
cru_seed17,cruise_018,cruise,402,-8.659818741684035,-8.449599477140694,-9.140226680575115,-7.008734358799407,-5.567802465923767,-5.0802628061379345,1.0,0.8736517804475566,1.0396601205304512,0.005671912735850755,0.005671912735850755,0.021629750609768128,0.00010528381123077837,8.74347606441006e-05,1.0,0.0
cru_seed17,highspeed_002,highspeed,402,-5.9179072439843345,-4.876409642606771,-8.04614729613688,-3.1255932539529447,2.408358741017144,2.7801336201890074,0.9676616915422885,0.7833286442703173,1.492841441715391,0.018432236466741404,0.018432236466741404,0.07049290641433428,0.00019794874269707513,8.697369048604742e-05,1.0,0.0
cru_seed17,highspeed_006,highspeed,402,-1.0966601073866524,-0.5839616213868487,-0.6403254693734135,-0.14094270206730455,0.12023875870374903,0.6765647605539629,0.972636815920398,0.22919357006841115,8.456205509788361,0.003741936675627232,0.003741936675627232,0.014547053071710524,0.0006007274278037246,5.675863576470874e-05,1.0,0.0
cru_seed17,highspeed_015,highspeed,402,-0.8944187915007844,-0.26603883296705183,-0.18277406751553882,-0.009041329766576494,0.10267421915979588,0.12708065180127484,0.945273631840796,0.19184045752246756,12.174369145388628,0.0031471967293539194,0.0031471967293539194,0.012554466039626353,0.0006293635586908739,3.6653353163274005e-05,1.0,0.0
cru_seed17,occlusion_003,occlusion,396,6.6192756934386745,-5.435795453174159,-3.1616688312342416,0.5048126976355076,19.304443878979537,27.024614604480135,0.6691919191919192,0.5057898049078186,9.292830498580999,0.27722902985337117,0.27722902985337117,0.6642439873905304,0.0034973586758544426,1.223602774658161e-09,0.5782828282828283,0.05303030303030303
cru_seed17,occlusion_010,occlusion,396,-0.37714232269385095,-2.0076231351773983,0.0008704578757514015,0.2954464925935639,1.0526044230409317,1.9935902393808038,0.5,0.1603112998273404,14.572812674397772,0.004358911688261925,0.004358911688261925,0.015088692103803201,0.0006983905794703198,4.128428656713368e-07,0.19696969696969696,0.030303030303030304
cru_seed17,occlusion_011,occlusion,396,31.14076002706132,-3.4207708385759217,-1.7065491896308274,0.2984033738194629,45.08394842386184,51.78356790225073,0.6919191919191919,0.4338005368687054,13.484430558095225,0.29280979571044546,0.29280979571044546,0.6333425025965278,0.9905778384120036,3.951984139244358e-12,0.5757575757575758,0.045454545454545456
cru_seed17,sweep_turn_001,sweep_turn,402,-0.8424455947844973,-0.3395854990606939,0.0684724687591073,0.21125565604991087,0.2804581948974228,0.3064693733549902,0.4502487562189055,0.20713935751023405,9.400059988249593,0.00324089860391708,0.00324089860391708,0.012929885229476724,0.000636940570476333,0.000112875844934,1.0,0.0
cru_seed17,sweep_turn_009,sweep_turn,402,-6.88087451375626,-6.913056060744903,-7.311595050132808,-5.330288956339384,-4.034641227773697,-3.9685331094687504,1.0,0.8123180430326888,1.7092146369725911,0.004864162635527146,0.004864162635527146,0.019382883030711826,0.00015858277771592025,0.0001017073518596,1.0,0.0
cru_seed17,sweep_turn_016,sweep_turn,402,-0.4685329504132932,-0.382144572309793,-0.0948576873029948,0.03456466144449003,0.1547114033960531,0.19448229258506766,0.7835820895522388,0.12975794753378186,13.356256240635963,0.002897847128620864,0.002897847128620864,0.011562958701233564,0.0006942088996578184,0.0002200492745032,1.0,0.0
cru_seed17,uturn_004,uturn,402,-3.8657880986191975,-3.49984141846311,-4.488500408351259,-1.6120180781054838,-0.8385896737067222,-0.6941829969222878,1.0,0.604288749137328,3.2121441557410346,0.005163384385556455,0.005163384385556455,0.020512711855560486,0.00031751530351861675,4.408682434586808e-05,1.0,0.0
