family,routes,duration_s,trajectory_hz,csi_hz,z_min_m,z_max_m,speed_min_mps,speed_max_mps,train_routes,train_groups,val_routes,val_groups,test_routes,test_groups
cruise,20,8.0,1000,500,35.193845360787606,68.01900798858046,7.550670463167121,12.648656378030479,14,14,3,3,3,3
highspeed,20,8.0,1000,500,32.786403529975765,67.6270308798377,17.08150414024233,25.783926269775325,14,14,3,3,3,3
sweep_turn,20,8.0,1000,500,26.747996922600084,69.14043039123482,3.8133595687801476,19.948439789919778,14,14,3,3,3,3
uturn,20,8.0,1000,500,31.878723280083364,70.98841216601559,0.5739791415355521,20.298099146898213,14,14,3,3,3,3
climb_descent,20,8.0,1000,500,21.768807017831122,70.98043908784135,5.02679275391435,12.553798488766434,14,14,3,3,3,3
occlusion,60,2.5,1000,500,18.05455430034772,57.86819380861225,5.215941738349275,15.421777584014283,42,14,9,3,9,3
