family,case,model,query_s,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db
cruise,main,hold,0.009999999776482582,600,0.004802149660414822,-23.18564309152068,-22.070290170231036,-26.001147369570603,-19.287486841963517,0.0023537456268968525,0.995284164349238,0.015547806293579925
cruise,main,hold,0.019999999552965164,600,0.009665400958620013,-20.14780125028681,-18.71832763891588,-24.695417554084006,-15.741595003027225,0.004646172843301126,0.9905536458889643,0.021100898431221444
cruise,main,hold,0.05000000074505806,600,0.02169969230851469,-16.635464242003916,-15.025547470663799,-21.211305439300762,-10.807776066947453,0.009708394052140648,0.9788370023171107,0.041405752093273046
cruise,main,hold,0.10000000149011612,600,0.027890869095766296,-15.54537952653462,-14.411498652335876,-17.771714659042097,-11.400125468646964,0.009506990256995777,0.9726707720756531,0.0671990397250435
cruise,main,hold,0.20000000298023224,600,0.053234431572879354,-12.738073788857246,-11.976018633374482,-13.7379899261149,-10.092590267294304,0.009179709010786609,0.9477591425180435,0.12471073278099842
cruise,main,hold,0.5,600,0.22995533493037026,-6.383565104041653,-5.891417368910493,-6.921912388397564,-4.264089269370591,0.011596856636751909,0.7824213442206382,0.28905890354983665
cruise,main,linear,0.009999999776482582,600,0.010142080096945089,-19.93872963939604,-18.452716741148578,-23.606845392347466,-15.362465001781295,0.005148154114067438,0.9902585437893867,0.0921296934733012
cruise,main,linear,0.019999999552965164,600,0.012690388907309776,-18.965250683930385,-17.448476101673638,-23.12223246008294,-14.130764024230901,0.006449318604815441,0.987874131500721,0.10554996297258185
cruise,main,linear,0.05000000074505806,600,0.018372862086786578,-17.358231849202117,-15.880375864884211,-21.785291619973464,-12.633634005451086,0.009441028554623093,0.9828561163942019,0.1578377725741501
cruise,main,linear,0.10000000149011612,600,0.022301406622088203,-16.516677437255936,-15.162658222200287,-20.45362938903898,-11.935930697557202,0.011831375782009369,0.9801741857330004,0.2577619048213819
cruise,main,linear,0.20000000298023224,600,0.03260542871663347,-14.867100850426544,-13.796502795969852,-17.666449876759174,-10.945990693759875,0.018733627494463386,0.974867563645045,0.5074818227626383
