family,case,model,event,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db
occlusion,count_random_n32,cru,future_switch_only,111,0.5733937453520527,-2.4154704870014627,-2.333298482800675,-2.748299089961148,0.09990853547018066,0.3522003695939307,0.6705630317263238,7.357257327115214
occlusion,count_random_n32,cru,history_switch_only,156,0.302509160086629,-5.192614702186336,-6.368021059402819,-8.233776875025917,-1.3312033956599305,0.15649668180515455,0.8773117528464167,2.9221109322343883
occlusion,count_random_n32,cru,stable_los,351,0.18361477299853415,-7.360923799232295,-7.840275270498159,-10.456782047631165,-3.690244234297859,0.1080956859807643,0.9191316492706961,2.4538876472301037
occlusion,count_random_n32,cru,stable_nlos,582,0.8347088376635604,-0.7846498828598834,-1.9651976408708547,-1.6395132265512173,1.9273156582246214,0.3315388584653311,0.5350315555203242,4.532302085193406
occlusion,count_random_n32,ct_transformer_csi,future_switch_only,111,0.7041440854207739,-1.5233846429471352,-1.6766177179015198,-2.040347537029416,0.8343354681514719,0.373158028816777,0.7370526114696855,7.59868966459154
occlusion,count_random_n32,ct_transformer_csi,history_switch_only,156,0.24042262463514746,-6.190246660708551,-7.044750240995571,-10.151740634487801,-1.0473058535402626,0.11812720481220122,0.8793448302894831,2.2878141473107134
occlusion,count_random_n32,ct_transformer_csi,stable_los,351,0.09778610121377843,-10.097228690888283,-10.277926695688143,-11.873048033552777,-6.507673005402913,0.06108885741451996,0.9346780503577317,1.3424395291715796
occlusion,count_random_n32,ct_transformer_csi,stable_nlos,582,0.8215784285074205,-0.8535097216538078,-1.9074591108026522,-1.3439473355883043,1.5403965271525142,0.39152831756594103,0.5331648244979372,6.518790936818397
occlusion,count_random_n32,harmonic,future_switch_only,111,1.4595811932930054,1.6422825884327497,-0.07454254530852764,-0.9344582087431255,2.046990279783304,0.6381110063315367,0.7622724822512618,6.186310035789067
occlusion,count_random_n32,harmonic,history_switch_only,156,0.7721028841143169,-1.1232482527823795,-6.6375656687255145,-14.115052012266107,-0.8251094164568273,0.3856030172647269,0.8945501398008603,1.347148897878539
occlusion,count_random_n32,harmonic,stable_los,351,0.09247681141765145,-10.339671530540862,-10.33348076171781,-13.709076512108648,-5.902059994668277,0.040145286412208485,0.9561322852756903,0.8325998639350258
occlusion,count_random_n32,harmonic,stable_nlos,582,0.8155717575126303,-0.8853782184533188,-1.629337195582591,-2.174864220395716,2.425873494989147,0.24441567696277408,0.5595752899342975,3.052199756766303
occlusion,count_random_n32,hold,future_switch_only,111,1.1875134247238748,0.7463852798157312,-0.9029650610336702,-1.7416150851677061,2.2501551717784194,0.40297557579627186,0.7704906001821294,5.024359469260047
occlusion,count_random_n32,hold,history_switch_only,156,0.3867495258757397,-4.125702100388759,-7.756457300859592,-10.936501620122915,-0.205263646928675,0.11361189906617652,0.8857766501008509,1.2406388954528107
occlusion,count_random_n32,hold,stable_los,351,0.08127010992178932,-10.900691528422934,-11.37089614315028,-12.217115314421603,-7.458585120849461,0.035512086939818874,0.936183981406383,0.4656485100177268
occlusion,count_random_n32,hold,stable_nlos,582,1.1447040018396728,0.5869320109812345,-0.7531521920780198,-0.7354584114943254,4.103919466337234,0.28222782724845796,0.5534415792217167,1.6146901375118041
occlusion,count_random_n32,kalman,future_switch_only,111,1.1121146234215409,0.46149551413309475,-0.16874122450761303,-3.9288178345253333,5.050462667483884,0.22800000537100862,0.8211684592135318,2.068936899914456
occlusion,count_random_n32,kalman,history_switch_only,156,0.775689620378566,-1.1031201987781127,-6.824894011542418,-13.5964611152548,-1.7595734006787669,0.3887508809633427,0.9026616345613431,1.037325399533774
occlusion,count_random_n32,kalman,stable_los,351,0.13003396349264232,-8.859431997625432,-8.87021877801994,-12.744485016117647,-4.502923894852558,0.07832661374008618,0.9532298722498098,1.0988321532186869
occlusion,count_random_n32,kalman,stable_nlos,582,1.9858317864595518,2.97942458003065,1.64142855053477,0.5978213155056691,6.800262724069025,0.5543099697349738,0.5506482534464593,2.4842238595462773
occlusion,count_random_n32,latent_ode,future_switch_only,111,0.6189444377296814,-2.08348335584816,-1.630973206978012,-1.9246399100727425,0.2463854592459922,0.42977429881507345,0.6604180636874459,8.8573181443252
occlusion,count_random_n32,latent_ode,history_switch_only,156,0.2855874453645158,-5.442608883831087,-5.892127693818595,-8.4782424522266,-1.0716653694641063,0.16800561248218843,0.8485737240228516,3.2046895797233073
occlusion,count_random_n32,latent_ode,stable_los,351,0.16300400577457702,-7.878017228082001,-7.806135389227467,-10.76304393586729,-3.4470974830221772,0.12718212312887398,0.90612573399503,2.784918158388089
occlusion,count_random_n32,latent_ode,stable_nlos,582,0.8719202754944059,-0.5952322320474003,-1.7869330755599893,-1.2685804796250615,2.1594278217045497,0.3116882391316681,0.5204270885134343,3.7627052068390285
occlusion,count_random_n32,linear,future_switch_only,111,1.1486432426506843,0.601851620157267,-0.001482603425745027,-3.6591014682381817,5.249615806972806,0.2380385611008728,0.8181181776899475,2.1191244927729973
