family,model,targets,nmse_db,hold_nmse_db,delta_vs_hold_db,fraction_targets_better_than_hold
cruise,cru,3600,-13.446750364252011,-12.375116492411482,-1.0716338718405274,0.8533333333333334
cruise,latent_ode,3600,-13.224625120994059,-12.375116492411482,-0.8495086285825747,0.8491666666666666
cruise,neural_flow,3600,-13.395395781874145,-12.375116492411482,-1.0202792894626607,0.8855555555555555
cruise,tpatchgnn,3600,-16.92996858501808,-12.375116492411482,-4.5548520926065965,0.9022222222222223
cruise,time_rwkv_csi,3600,-13.156912687495987,-12.375116492411482,-0.7817961950845045,0.8444444444444444
cruise,ct_transformer_csi,3600,-16.41918029315833,-12.375116492411482,-4.044063800746848,0.9541666666666667
highspeed,cru,3600,-8.922986482603147,-7.945273353110284,-0.977713129492862,0.6841666666666667
highspeed,latent_ode,3600,-8.855272570422276,-7.945273353110284,-0.9099992173119896,0.6791666666666667
highspeed,neural_flow,3600,-8.906672752577075,-7.945273353110284,-0.9613993994667893,0.7752777777777777
highspeed,tpatchgnn,3600,-11.03666815963588,-7.945273353110284,-3.091394806525596,0.9358333333333333
highspeed,time_rwkv_csi,3600,-9.071157560805702,-7.945273353110284,-1.1258842076954172,0.7516666666666667
highspeed,ct_transformer_csi,3600,-10.353324849530212,-7.945273353110284,-2.4080514964199273,0.9080555555555555
sweep_turn,cru,3600,-10.56531482964515,-10.505404956935138,-0.0599098727100114,0.5161111111111111
sweep_turn,latent_ode,3600,-10.7051960437305,-10.505404956935138,-0.19979108679536178,0.5955555555555555
sweep_turn,neural_flow,3600,-10.681271828933737,-10.505404956935138,-0.1758668719985993,0.6052777777777778
sweep_turn,tpatchgnn,3600,-12.63628615881995,-10.505404956935138,-2.130881201884813,0.7563888888888889
sweep_turn,time_rwkv_csi,3600,-11.135484899218238,-10.505404956935138,-0.6300799422830996,0.6233333333333333
sweep_turn,ct_transformer_csi,3600,-12.962097073988357,-10.505404956935138,-2.45669211705322,0.8744444444444445
uturn,cru,3600,-9.519490229481221,-9.069707569982242,-0.4497826594989778,0.6675
uturn,latent_ode,3600,-9.610911359664522,-9.069707569982242,-0.5412037896822794,0.6966666666666667
uturn,neural_flow,3600,-9.537625990205886,-9.069707569982242,-0.4679184202236413,0.725
uturn,tpatchgnn,3600,-10.68367805539804,-9.069707569982242,-1.6139704854157964,0.7094444444444444
uturn,time_rwkv_csi,3600,-9.636341469471386,-9.069707569982242,-0.566633899489143,0.5858333333333333
uturn,ct_transformer_csi,3600,-10.802554857869975,-9.069707569982242,-1.7328472878877321,0.7722222222222223
climb_descent,cru,3600,-11.816394840706002,-11.600129738744215,-0.216265101961787,0.6077777777777778
climb_descent,latent_ode,3600,-12.408556815316103,-11.600129738744215,-0.8084270765718864,0.6886111111111111
climb_descent,neural_flow,3600,-12.964667775551371,-11.600129738744215,-1.364538036807155,0.6941666666666667
climb_descent,tpatchgnn,3600,-14.642286777702981,-11.600129738744215,-3.0421570389587673,0.8194444444444444
climb_descent,time_rwkv_csi,3600,-11.815934147304077,-11.600129738744215,-0.21580440855986138,0.6125
climb_descent,ct_transformer_csi,3600,-13.95866165245592,-11.600129738744215,-2.3585319137117047,0.8494444444444444
occlusion,cru,3600,-2.596321272808246,-1.224490446255365,-1.3718308265528805,0.5133333333333333
occlusion,ct_transformer_csi,3600,-2.8071715022734405,-1.224490446255365,-1.582681056018076,0.5838888888888889
occlusion,latent_ode,3600,-2.4520040220322694,-1.224490446255365,-1.2275135757769045,0.5552777777777778
occlusion,neural_flow,3600,-2.2977259321085426,-1.224490446255365,-1.0732354858531772,0.6230555555555556
occlusion,time_rwkv_csi,3600,-2.2054014468409484,-1.224490446255365,-0.9809110005855836,0.5477777777777778
occlusion,tpatchgnn,3600,-3.1079871578220866,-1.224490446255365,-1.883496711566721,0.5511111111111111
